Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,-0.156713,1.40549,-0.0161374,-0.316036,1.32971,0.0311622,-0.470297,0.0884181,0.133261,-0.250343,0.948795,0.151688,-0.242507,1.54699,0.104841,-0.0695837,1.04621,0.258584,-0.359179,1.60541,0.0820638,0.0335284,0.731612,0.291805,0.0028108,0.910025,0.250589,-0.40492,0.0583633,0.0765193,-0.470637,0.485633,0.152173,-0.110935,0.946273,0.0289114,-0.17286,1.37167,0.17006,-0.384851,0.653247,0.184066,-0.463259,0.234697,0.161942,-0.641694,0.0769205,0.0706577,-0.135266,1.21561,0.256175,-0.0344255,0.797555,0.244557,0.0306786,0.825425,0.26298,0.185907,0.170178,-0.139342,-0.261336,0.924561,-0.162937,-0.149185,1.27811,-0.15509,-0.229512,1.54668,-0.0443767,-0.383377,1.06594,-0.23475,-0.344187,1.59547,-0.0462646,-0.621115,0.841479,-0.132623,-0.429653,0.989888,-0.219293,0.27298,0.183671,-0.0773962,-0.129827,0.446861,-0.159694,-0.117641,0.94333,-0.0340409,-0.283985,1.39735,-0.158389,-0.256383,0.754857,-0.182228,-0.012095,0.375805,-0.179531,0.109709,0.0561023,-0.0776248,-0.365788,1.16278,-0.221238,-0.537951,0.914069,-0.106539,-0.530772,0.866609,-0.162765,-0.352483,1.17071,0.0423154,-0.10828,1.17489,-0.0417008
2,0.00999079,-0.157635,1.40588,-0.0139343,-0.317199,1.33085,0.032791,-0.459331,0.0886383,0.132674,-0.253962,0.950007,0.153282,-0.243646,1.54745,0.10642,-0.0742681,1.04544,0.26031,-0.35973,1.60624,0.0839728,0.0237799,0.728976,0.292786,-0.00401508,0.90801,0.251863,-0.392529,0.0590357,0.0769111,-0.473787,0.486009,0.154542,-0.11365,0.947223,0.0314918,-0.17465,1.37221,0.172207,-0.390259,0.656096,0.185708,-0.458804,0.234624,0.162741,-0.630441,0.0732125,0.0699476,-0.138127,1.21581,0.258776,-0.0425396,0.796185,0.245829,0.022749,0.823058,0.264325,0.184367,0.177376,-0.137985,-0.263001,0.924785,-0.160827,-0.150108,1.27849,-0.152842,-0.229909,1.5474,-0.0422828,-0.38056,1.06575,-0.23213,-0.344301,1.59643,-0.0441945,-0.612546,0.832675,-0.134167,-0.425167,0.988332,-0.217856,0.269435,0.198356,-0.0753654,-0.139683,0.444502,-0.162078,-0.120036,0.943703,-0.0314553,-0.284454,1.39836,-0.156633,-0.260118,0.755181,-0.180154,-0.0191308,0.377016,-0.179969,0.118011,0.0578864,-0.077325,-0.364741,1.16304,-0.21915,-0.531985,0.907497,-0.10678,-0.523206,0.861307,-0.163988,-0.355488,1.17229,0.0444978,-0.109474,1.17542,-0.0389425
3,0.0199816,-0.158291,1.40629,-0.0118169,-0.318261,1.33199,0.0341928,-0.447907,0.0887443,0.132035,-0.257071,0.951026,0.155193,-0.244094,1.54795,0.108611,-0.0794594,1.04473,0.262122,-0.360144,1.60704,0.0857753,0.0133566,0.726373,0.293696,-0.0111645,0.906189,0.253595,-0.380219,0.0594125,0.0767155,-0.474898,0.485728,0.157022,-0.116098,0.948072,0.0338838,-0.176525,1.37291,0.174314,-0.393821,0.658224,0.187348,-0.453659,0.234019,0.16306,-0.618792,0.0703229,0.0694571,-0.141761,1.21593,0.260676,-0.05178,0.795048,0.246874,0.0139852,0.820677,0.265813,0.182164,0.185701,-0.136807,-0.264521,0.925016,-0.158626,-0.150717,1.27899,-0.150642,-0.230219,1.54818,-0.0403194,-0.377822,1.06572,-0.230178,-0.344551,1.5975,-0.0424124,-0.603154,0.823928,-0.136109,-0.420283,0.986894,-0.216693,0.264174,0.213791,-0.073266,-0.150124,0.442081,-0.164064,-0.122126,0.943952,-0.0290481,-0.284575,1.39936,-0.154996,-0.264194,0.755337,-0.178326,-0.0272021,0.378211,-0.180446,0.124545,0.0609328,-0.0767705,-0.363259,1.16333,-0.217302,-0.525323,0.901114,-0.107425,-0.515017,0.856275,-0.165494,-0.358432,1.17382,0.0461735,-0.110645,1.17593,-0.0362766
4,0.0299724,-0.15868,1.40676,-0.00974053,-0.319254,1.33308,0.0353487,-0.436068,0.0888859,0.13119,-0.259664,0.951829,0.157407,-0.244655,1.54853,0.110325,-0.0851077,1.04406,0.264033,-0.360475,1.60787,0.0874543,0.00206279,0.723763,0.294592,-0.019077,0.904285,0.25544,-0.36747,0.0598274,0.0765719,-0.474418,0.484712,0.15927,-0.118328,0.948727,0.0361552,-0.178477,1.37374,0.176417,-0.395377,0.65904,0.189161,-0.447664,0.232925,0.162879,-0.606925,0.0684045,0.0691824,-0.14585,1.21605,0.262495,-0.0617159,0.793902,0.248009,0.00444114,0.818265,0.267465,0.178953,0.194855,-0.135537,-0.265855,0.925217,-0.156411,-0.150975,1.27955,-0.148453,-0.230486,1.54906,-0.0384597,-0.374755,1.0657,-0.228445,-0.344657,1.59865,-0.0406955,-0.592932,0.815176,-0.138367,-0.414979,0.985533,-0.215782,0.256943,0.229664,-0.0709609,-0.161025,0.439602,-0.165403,-0.123883,0.944012,-0.0267872,-0.284336,1.40034,-0.153521,-0.268172,0.755408,-0.176572,-0.0362448,0.379495,-0.180797,0.129313,0.0649338,-0.0760992,-0.361338,1.1636,-0.21568,-0.517999,0.894824,-0.108465,-0.506284,0.851502,-0.167386,-0.361207,1.17527,0.0473444,-0.111724,1.17644,-0.0337113
5,0.0399632,-0.158786,1.40735,-0.00760512,-0.32016,1.33416,0.0362935,-0.424042,0.0890883,0.130213,-0.261748,0.952492,0.159848,-0.245054,1.54922,0.111919,-0.0911999,1.04339,0.266031,-0.36073,1.6088,0.0889803,-0.0108707,0.721003,0.295732,-0.027724,0.902281,0.257345,-0.354783,0.0600314,0.0764551,-0.472962,0.483064,0.160746,-0.120283,0.949112,0.0383686,-0.180471,1.37467,0.17856,-0.395124,0.658096,0.191086,-0.440671,0.231593,0.162376,-0.594842,0.0671418,0.0689168,-0.149983,1.21627,0.264641,-0.0725683,0.792853,0.249108,-0.00584337,0.815792,0.269295,0.174157,0.204536,-0.133888,-0.266889,0.925411,-0.15428,-0.15077,1.28017,-0.146167,-0.230706,1.55012,-0.0367267,-0.37112,1.06561,-0.226758,-0.344744,1.59993,-0.0392262,-0.58195,0.806468,-0.140914,-0.409248,0.984216,-0.215141,0.24756,0.245506,-0.0681921,-0.172426,0.437253,-0.166356,-0.125279,0.94385,-0.0246299,-0.283654,1.40129,-0.15223,-0.271968,0.75554,-0.174892,-0.0462597,0.381105,-0.181091,0.132225,0.06915,-0.0756,-0.358962,1.16383,-0.214268,-0.510086,0.888578,-0.109855,-0.497143,0.846931,-0.169774,-0.363735,1.17666,0.0480298,-0.112785,1.17693,-0.0309617
6,0.049954,-0.158689,1.40813,-0.00534149,-0.320989,1.33533,0.0370711,-0.411823,0.0892643,0.129548,-0.263389,0.953165,0.162355,-0.245212,1.55013,0.113573,-0.0977289,1.04271,0.268118,-0.360945,1.60993,0.090319,-0.0245793,0.718339,0.2969,-0.0367955,0.900335,0.25954,-0.342279,0.0600404,0.076291,-0.470792,0.480965,0.161346,-0.12186,0.949237,0.0405145,-0.182502,1.37574,0.180787,-0.393712,0.655942,0.192782,-0.432626,0.23044,0.161887,-0.582599,0.0662717,0.0686427,-0.154256,1.21657,0.267032,-0.0838714,0.79192,0.250036,-0.0168596,0.813302,0.27127,0.167745,0.214201,-0.13181,-0.267601,0.925659,-0.152324,-0.149982,1.2809,-0.143686,-0.230664,1.55136,-0.0353244,-0.366783,1.06539,-0.225373,-0.344708,1.60136,-0.0379292,-0.570316,0.798058,-0.143776,-0.403063,0.982952,-0.214843,0.236196,0.260704,-0.0649533,-0.184365,0.435328,-0.167165,-0.126189,0.94344,-0.0225877,-0.282478,1.40226,-0.151122,-0.27562,0.755856,-0.173258,-0.0570354,0.383072,-0.181359,0.132845,0.0729429,-0.0751014,-0.356089,1.16401,-0.213102,-0.501653,0.882467,-0.111617,-0.48761,0.842652,-0.172567,-0.365948,1.17803,0.0483041,-0.113561,1.1775,-0.0277951
7,0.0599448,-0.158494,1.4092,-0.00296548,-0.32169,1.33665,0.0377152,-0.399438,0.0893862,0.129096,-0.264688,0.954026,0.164746,-0.24544,1.55136,0.115013,-0.104691,1.04204,0.270258,-0.361154,1.61131,0.0914243,-0.0389466,0.715897,0.298061,-0.0465011,0.898408,0.26182,-0.329811,0.0599944,0.0760909,-0.467616,0.478725,0.161482,-0.122987,0.94917,0.0424724,-0.184566,1.37703,0.183129,-0.391451,0.653625,0.194069,-0.423457,0.229677,0.161594,-0.57023,0.0656803,0.0684772,-0.158891,1.21693,0.26954,-0.0960722,0.791171,0.250854,-0.0285704,0.810875,0.273336,0.160057,0.223403,-0.129384,-0.267952,0.926044,-0.150588,-0.148614,1.28174,-0.140977,-0.230573,1.55285,-0.0339544,-0.361841,1.06506,-0.224166,-0.344568,1.60295,-0.0367834,-0.558026,0.790007,-0.146968,-0.39642,0.981811,-0.214874,0.223005,0.274764,-0.0612177,-0.196735,0.434091,-0.16777,-0.126526,0.94284,-0.0207183,-0.280856,1.40331,-0.15022,-0.279159,0.756548,-0.171664,-0.0686703,0.385056,-0.181541,0.130901,0.0745277,-0.0750043,-0.352678,1.16418,-0.212216,-0.492708,0.876566,-0.113791,-0.477669,0.838726,-0.17574,-0.367788,1.17946,0.0482275,-0.113755,1.17831,-0.0243511
8,0.0699355,-0.158293,1.41065,-0.000499337,-0.322182,1.33821,0.0382168,-0.387108,0.0893617,0.12844,-0.265718,0.955208,0.166913,-0.245737,1.55298,0.116227,-0.112108,1.04149,0.272439,-0.361367,1.61294,0.0922915,-0.0541504,0.713742,0.299213,-0.0567246,0.896609,0.264234,-0.316935,0.0602741,0.0760677,-0.46322,0.476783,0.161576,-0.123685,0.949124,0.0441529,-0.186706,1.37861,0.185566,-0.388794,0.65203,0.195358,-0.413291,0.229243,0.161519,-0.557706,0.0651383,0.0684467,-0.164102,1.21734,0.271926,-0.108477,0.790673,0.251487,-0.0409995,0.808583,0.275453,0.151264,0.231815,-0.126729,-0.267823,0.926718,-0.149108,-0.146721,1.28271,-0.138038,-0.230449,1.5546,-0.0325949,-0.356283,1.06474,-0.223033,-0.344334,1.6047,-0.0358328,-0.545215,0.78245,-0.150606,-0.389317,0.980819,-0.214995,0.207389,0.286758,-0.0574225,-0.209441,0.433581,-0.168049,-0.126234,0.942252,-0.0190963,-0.278907,1.40451,-0.149515,-0.28243,0.757812,-0.170383,-0.0812504,0.386696,-0.181619,0.127985,0.0737021,-0.0759567,-0.348753,1.16443,-0.211568,-0.483244,0.870976,-0.116382,-0.467351,0.835197,-0.179392,-0.369195,1.181,0.0479033,-0.113653,1.17939,-0.0207414
9,0.0799263,-0.15813,1.41249,0.00201728,-0.322457,1.34004,0.0385413,-0.374685,0.0893313,0.127867,-0.266513,0.956742,0.168767,-0.246037,1.55495,0.117319,-0.119952,1.04115,0.274638,-0.361594,1.61482,0.0929387,-0.0702473,0.711989,0.300363,-0.0675894,0.894969,0.26665,-0.304073,0.0604718,0.0760125,-0.457811,0.475337,0.161837,-0.123947,0.949402,0.0455401,-0.189056,1.38045,0.188015,-0.385727,0.651531,0.196289,-0.402589,0.228958,0.161682,-0.545029,0.0647333,0.0684064,-0.169737,1.21794,0.2745,-0.121646,0.790396,0.252098,-0.0541585,0.806468,0.27759,0.141174,0.239243,-0.123924,-0.267135,0.927798,-0.147932,-0.144351,1.28387,-0.134968,-0.230071,1.5566,-0.0314611,-0.350397,1.06465,-0.222143,-0.343942,1.60661,-0.0350655,-0.531774,0.775457,-0.154776,-0.381711,0.98007,-0.215242,0.189328,0.29634,-0.0535002,-0.222547,0.433749,-0.168065,-0.125716,0.941959,-0.0177609,-0.276716,1.4059,-0.148949,-0.28526,0.759736,-0.169406,-0.0946242,0.387987,-0.181598,0.1259,0.0731246,-0.0775436,-0.344355,1.16487,-0.211099,-0.473241,0.865806,-0.119406,-0.456539,0.83208,-0.183415,-0.370109,1.18275,0.0474111,-0.113469,1.18074,-0.0170283
10,0.0899171,-0.157936,1.41467,0.00452775,-0.322592,1.34217,0.0386787,-0.362115,0.0893552,0.127504,-0.267114,0.958576,0.170316,-0.246312,1.55722,0.118362,-0.128186,1.04114,0.276827,-0.361822,1.61694,0.0933593,-0.0872869,0.71067,0.301439,-0.0788967,0.893684,0.269127,-0.291312,0.0605202,0.0759562,-0.451495,0.474269,0.162309,-0.12391,0.950305,0.0467682,-0.191683,1.38255,0.190348,-0.382959,0.652052,0.197164,-0.391764,0.228698,0.162023,-0.532236,0.0644669,0.0684071,-0.175575,1.21881,0.276812,-0.13561,0.790472,0.252641,-0.0680282,0.80468,0.279702,0.129899,0.245952,-0.121033,-0.265986,0.929349,-0.146984,-0.141644,1.28529,-0.131832,-0.229636,1.55885,-0.0303636,-0.344231,1.06491,-0.221492,-0.34345,1.60868,-0.0344853,-0.517708,0.769166,-0.159514,-0.373586,0.979664,-0.215696,0.171048,0.303875,-0.049146,-0.235877,0.434701,-0.168099,-0.125225,0.942357,-0.0166727,-0.274324,1.40751,-0.148479,-0.287578,0.762238,-0.168643,-0.108369,0.389251,-0.181288,0.122452,0.0762387,-0.0786464,-0.339523,1.16551,-0.210753,-0.462674,0.861121,-0.122852,-0.444895,0.829328,-0.187326,-0.370565,1.18473,0.046817,-0.113202,1.18247,-0.0132214
