Frame#,Time,C7_X,C7_Y,C7_Z,CLAV_X,CLAV_Y,CLAV_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LBHD_X,LBHD_Y,LBHD_Z,LELB_X,LELB_Y,LELB_Z,LFHD_X,LFHD_Y,LFHD_Z,LFIN_X,LFIN_Y,LFIN_Z,LFRM_X,LFRM_Y,LFRM_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTHI_X,LTHI_Y,LTHI_Z,LTIB_X,LTIB_Y,LTIB_Z,LTOE_X,LTOE_Y,LTOE_Z,LUPA_X,LUPA_Y,LUPA_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RBAK_X,RBAK_Y,RBAK_Z,RBHD_X,RBHD_Y,RBHD_Z,RELB_X,RELB_Y,RELB_Z,RFHD_X,RFHD_Y,RFHD_Z,RFIN_X,RFIN_Y,RFIN_Z,RFRM_X,RFRM_Y,RFRM_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTHI_X,RTHI_Y,RTHI_Z,RTIB_X,RTIB_Y,RTIB_Z,RTOE_X,RTOE_Y,RTOE_Z,RUPA_X,RUPA_Y,RUPA_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z,T10_X,T10_Y,T10_Z
1,0.0,-0.165263,1.41608,0.00331547,-0.328103,1.33521,0.000194342,-0.184591,0.0946955,0.214294,-0.235344,0.942396,0.169757,-0.250517,1.55353,0.0883662,-0.320455,1.05293,0.280962,-0.359278,1.62266,0.058317,-0.493915,0.818805,0.131929,-0.365643,0.908625,0.226734,-0.118002,0.0620081,0.152305,-0.360116,0.454228,0.236345,-0.088767,0.961775,0.0545684,-0.250183,1.39949,0.179201,-0.300697,0.636193,0.236378,-0.242695,0.233255,0.241114,-0.357087,0.0641022,0.185723,-0.300112,1.23613,0.266079,-0.413775,0.881098,0.125934,-0.41752,0.844233,0.188016,-0.17868,0.0988326,-0.192878,-0.110535,1.29069,-0.11821,-0.228609,1.55024,-0.0595013,-0.290671,1.05768,-0.268653,-0.337273,1.60977,-0.0687175,-0.482201,0.777977,-0.189391,-0.325297,0.974614,-0.260623,-0.115134,0.0599003,-0.118624,-0.331931,0.478644,-0.220187,-0.0826018,0.954431,-0.00904676,-0.246963,1.39421,-0.174284,-0.249537,0.794203,-0.192481,-0.268371,0.362473,-0.238928,-0.345078,0.061932,-0.177071,-0.282302,1.15621,-0.254617,-0.414484,0.864784,-0.159944,-0.404372,0.829119,-0.224101,-0.355482,1.17278,0.00700775,-0.101049,1.19647,0.0145184
2,0.00997996,-0.165216,1.41327,0.00335448,-0.327739,1.33176,0.000260512,-0.184609,0.094681,0.214293,-0.233639,0.939509,0.169934,-0.250985,1.55035,0.0885456,-0.320993,1.04998,0.281201,-0.359947,1.61912,0.0584719,-0.497457,0.820323,0.129579,-0.367974,0.906825,0.225557,-0.117971,0.061947,0.15229,-0.362471,0.452985,0.237082,-0.0860541,0.959099,0.0548625,-0.250062,1.39628,0.179285,-0.301058,0.634249,0.23687,-0.243764,0.232601,0.24145,-0.357068,0.0641183,0.185735,-0.300133,1.23305,0.26662,-0.416899,0.882033,0.123879,-0.42071,0.843736,0.185939,-0.178672,0.0988163,-0.192935,-0.11016,1.28799,-0.118334,-0.229061,1.54718,-0.0593692,-0.291503,1.05488,-0.268961,-0.337987,1.60633,-0.068571,-0.486135,0.778566,-0.186547,-0.326941,0.972152,-0.259986,-0.115099,0.0598742,-0.118619,-0.334165,0.477384,-0.221503,-0.0809442,0.951418,-0.00892455,-0.247032,1.39112,-0.174211,-0.248491,0.791884,-0.192582,-0.270371,0.361152,-0.239773,-0.345001,0.0619691,-0.177124,-0.282648,1.15333,-0.254872,-0.416899,0.864378,-0.158165,-0.4074,0.827937,-0.221959,-0.354404,1.16923,0.00700345,-0.100088,1.19383,0.0144221
3,0.0199599,-0.165138,1.41045,0.00339685,-0.327382,1.32828,0.000344008,-0.184643,0.0946663,0.214272,-0.23186,0.936637,0.170005,-0.251391,1.54712,0.0886851,-0.321646,1.04705,0.281529,-0.360595,1.61554,0.058662,-0.500998,0.821788,0.127304,-0.370354,0.905072,0.224343,-0.117945,0.0618882,0.152269,-0.36483,0.45172,0.237843,-0.0842496,0.956088,0.0549726,-0.250008,1.39304,0.179384,-0.301432,0.632351,0.23736,-0.24476,0.231997,0.241723,-0.357035,0.064151,0.185749,-0.30005,1.22985,0.266866,-0.419523,0.882285,0.122297,-0.423904,0.843267,0.183947,-0.178645,0.0987712,-0.193016,-0.109813,1.28526,-0.11844,-0.22959,1.54407,-0.0592232,-0.292375,1.05202,-0.269241,-0.338675,1.60283,-0.0683956,-0.490098,0.77929,-0.18357,-0.328641,0.969722,-0.259525,-0.115081,0.0598195,-0.118627,-0.336343,0.47609,-0.222729,-0.079297,0.948379,-0.00886002,-0.247117,1.38798,-0.17414,-0.247376,0.789512,-0.192661,-0.272305,0.360007,-0.240796,-0.344929,0.0620098,-0.177163,-0.283051,1.15041,-0.255106,-0.419319,0.863956,-0.156364,-0.410376,0.826789,-0.21977,-0.353335,1.16564,0.00697419,-0.0991722,1.1912,0.0143799
4,0.0299399,-0.165048,1.40755,0.00342908,-0.326995,1.32478,0.000420416,-0.184713,0.0946873,0.214234,-0.23001,0.93373,0.169972,-0.25177,1.54382,0.0887493,-0.322302,1.04401,0.281727,-0.361211,1.6119,0.0588691,-0.504533,0.823194,0.125096,-0.372832,0.903406,0.223179,-0.117927,0.0618435,0.152258,-0.367161,0.450472,0.238617,-0.0826909,0.952997,0.055008,-0.249972,1.38982,0.179489,-0.301836,0.630485,0.237927,-0.245702,0.231473,0.241987,-0.356998,0.0641845,0.185761,-0.300032,1.22664,0.267037,-0.421921,0.882171,0.120946,-0.427092,0.842786,0.182022,-0.178621,0.098704,-0.193084,-0.109479,1.2825,-0.118576,-0.230156,1.54095,-0.0590966,-0.293313,1.04911,-0.269512,-0.339303,1.59932,-0.0681527,-0.494105,0.780061,-0.180665,-0.330366,0.967294,-0.259079,-0.115066,0.0597606,-0.11864,-0.338452,0.474807,-0.223871,-0.0776657,0.945353,-0.00882844,-0.24719,1.38479,-0.174083,-0.246161,0.787146,-0.19272,-0.274217,0.358939,-0.241793,-0.344844,0.0620361,-0.1772,-0.283503,1.14744,-0.255317,-0.421729,0.863547,-0.154574,-0.413186,0.825727,-0.217409,-0.352297,1.16205,0.00694184,-0.0983046,1.18857,0.0143892
5,0.0399198,-0.164924,1.40456,0.00345533,-0.326598,1.3213,0.000493535,-0.184826,0.0947494,0.214159,-0.228105,0.93075,0.169868,-0.252121,1.5405,0.0887808,-0.323051,1.04098,0.28189,-0.361792,1.60821,0.0590804,-0.508036,0.824537,0.122978,-0.375456,0.901905,0.222012,-0.117919,0.0618118,0.152239,-0.369486,0.449246,0.239374,-0.0810888,0.949974,0.0550267,-0.249913,1.38661,0.179572,-0.302288,0.62862,0.238556,-0.246648,0.230969,0.242269,-0.356979,0.0642125,0.185769,-0.300074,1.22342,0.267166,-0.424306,0.882086,0.11953,-0.430279,0.842248,0.180073,-0.178604,0.098631,-0.193146,-0.109158,1.27966,-0.118744,-0.230546,1.53777,-0.0590525,-0.294261,1.04618,-0.269721,-0.33993,1.59581,-0.0679414,-0.498118,0.780879,-0.177833,-0.332126,0.964854,-0.258568,-0.115042,0.0597042,-0.118653,-0.340491,0.473548,-0.224959,-0.0760557,0.942337,-0.00881743,-0.247225,1.38157,-0.174033,-0.244904,0.784796,-0.192784,-0.276131,0.357736,-0.242519,-0.344724,0.0620685,-0.177239,-0.283965,1.14443,-0.255497,-0.424041,0.863103,-0.152865,-0.416461,0.824755,-0.215217,-0.351301,1.15846,0.00692767,-0.0974742,1.18587,0.0144417
6,0.0498998,-0.164747,1.40151,0.00344514,-0.326217,1.31782,0.000534923,-0.184909,0.0947778,0.214135,-0.226427,0.927553,0.170039,-0.252403,1.53714,0.0888634,-0.323896,1.03797,0.282002,-0.362341,1.60449,0.0592976,-0.511498,0.825818,0.120962,-0.378035,0.900279,0.220807,-0.117876,0.0618217,0.152221,-0.371813,0.448034,0.240088,-0.0794185,0.94698,0.0550234,-0.249725,1.3833,0.179573,-0.302789,0.626739,0.239111,-0.247678,0.230397,0.242542,-0.356968,0.0642336,0.185772,-0.300091,1.22015,0.267168,-0.426987,0.882476,0.117795,-0.433485,0.841652,0.178027,-0.178586,0.0985598,-0.193223,-0.108847,1.27676,-0.118912,-0.231049,1.53461,-0.0589247,-0.295193,1.04321,-0.269833,-0.340539,1.59227,-0.0677712,-0.502106,0.78175,-0.175051,-0.33394,0.962402,-0.258009,-0.115,0.0596773,-0.118674,-0.342474,0.472312,-0.226016,-0.0744852,0.939346,-0.00882764,-0.247223,1.37831,-0.173992,-0.244028,0.782451,-0.1931,-0.277919,0.356636,-0.243361,-0.344599,0.0621289,-0.177295,-0.284406,1.14139,-0.255646,-0.426254,0.86254,-0.151239,-0.420022,0.823813,-0.21312,-0.350328,1.15488,0.00692223,-0.0966694,1.18309,0.0145132
7,0.0598798,-0.164537,1.3984,0.00340914,-0.325852,1.31432,0.000577093,-0.184957,0.0947798,0.214152,-0.224942,0.92428,0.170423,-0.252644,1.53375,0.0889782,-0.324804,1.03499,0.282032,-0.362854,1.60075,0.0595416,-0.514917,0.827028,0.119035,-0.380575,0.898546,0.219569,-0.117729,0.0619244,0.152208,-0.374055,0.446804,0.240762,-0.0777223,0.944,0.055004,-0.249566,1.38002,0.179596,-0.303278,0.624845,0.239566,-0.248688,0.229792,0.242809,-0.356947,0.0642416,0.185779,-0.30011,1.21689,0.267082,-0.42966,0.882627,0.116227,-0.436694,0.841043,0.176048,-0.178565,0.0984956,-0.193307,-0.10854,1.27379,-0.119065,-0.231498,1.53142,-0.0588144,-0.296195,1.04023,-0.269911,-0.341091,1.58869,-0.0675588,-0.506082,0.782667,-0.172286,-0.335853,0.959929,-0.257507,-0.114969,0.0596532,-0.118692,-0.34444,0.471082,-0.227034,-0.0729468,0.936372,-0.00885999,-0.247173,1.37503,-0.173954,-0.243075,0.780115,-0.193358,-0.279681,0.355645,-0.244255,-0.344494,0.0621831,-0.177349,-0.284853,1.13832,-0.255762,-0.429095,0.862297,-0.149463,-0.42322,0.82271,-0.210873,-0.349407,1.1513,0.00691974,-0.0958865,1.18024,0.014574
8,0.0698597,-0.164326,1.39526,0.00338776,-0.325536,1.31084,0.00064392,-0.184984,0.0947615,0.214178,-0.223375,0.9211,0.170741,-0.252866,1.53038,0.0891051,-0.32577,1.03204,0.282004,-0.363324,1.59703,0.0597974,-0.518309,0.828179,0.117185,-0.38312,0.896794,0.218334,-0.117525,0.0620587,0.152203,-0.376162,0.445567,0.241399,-0.076133,0.941023,0.0549768,-0.249356,1.37671,0.179612,-0.303672,0.62296,0.239984,-0.249657,0.229162,0.243117,-0.356913,0.0642588,0.185787,-0.300203,1.21363,0.266965,-0.43221,0.882252,0.115134,-0.439826,0.840433,0.174133,-0.178512,0.0984948,-0.193345,-0.108243,1.27079,-0.119211,-0.231787,1.52817,-0.0587764,-0.297274,1.03723,-0.269953,-0.34164,1.58511,-0.0673546,-0.510036,0.783632,-0.169543,-0.337923,0.957424,-0.257077,-0.114947,0.0596235,-0.118701,-0.346395,0.469864,-0.228032,-0.0714069,0.933388,-0.00887688,-0.247109,1.37172,-0.173931,-0.242007,0.777788,-0.193518,-0.281436,0.354735,-0.245151,-0.344392,0.0622176,-0.177389,-0.285331,1.13527,-0.255874,-0.432115,0.862274,-0.147614,-0.426453,0.821663,-0.208611,-0.348521,1.14773,0.00692202,-0.0951146,1.17731,0.014588
9,0.0798397,-0.164181,1.39215,0.0033763,-0.325247,1.30734,0.000706979,-0.185003,0.0947444,0.214184,-0.221545,0.918023,0.170792,-0.253065,1.527,0.0892397,-0.326946,1.0291,0.282053,-0.363759,1.59335,0.0600465,-0.521724,0.829325,0.115426,-0.385681,0.895038,0.217118,-0.117705,0.0618099,0.152209,-0.378099,0.444321,0.242016,-0.0748001,0.937951,0.0549141,-0.249134,1.37336,0.179625,-0.303959,0.621065,0.240384,-0.250625,0.228477,0.2434,-0.356886,0.0642866,0.185796,-0.300451,1.21042,0.266937,-0.434808,0.882011,0.113924,-0.443004,0.839807,0.172289,-0.178411,0.0985634,-0.193304,-0.107945,1.26778,-0.119346,-0.23196,1.52488,-0.0588056,-0.29839,1.03424,-0.269975,-0.342145,1.58155,-0.0671273,-0.51397,0.78463,-0.166844,-0.339947,0.954958,-0.256483,-0.114939,0.0595866,-0.118691,-0.348341,0.468659,-0.22903,-0.069867,0.930394,-0.00888954,-0.247069,1.3684,-0.173921,-0.240931,0.775402,-0.193616,-0.283187,0.353688,-0.245846,-0.344298,0.0622521,-0.177415,-0.285814,1.1322,-0.255968,-0.434644,0.861963,-0.145855,-0.429818,0.820727,-0.206358,-0.347708,1.14417,0.00698121,-0.0943869,1.1743,0.0145354
10,0.0898196,-0.164068,1.38909,0.00333971,-0.324958,1.30385,0.000759141,-0.185032,0.0947432,0.214176,-0.21978,0.914925,0.170912,-0.253269,1.52365,0.0893055,-0.328171,1.02614,0.282041,-0.364167,1.58974,0.0602572,-0.525159,0.830491,0.113734,-0.38826,0.893252,0.21594,-0.117822,0.0616598,0.152199,-0.379871,0.443097,0.242639,-0.0735794,0.934828,0.0548249,-0.248941,1.37006,0.179659,-0.304142,0.619181,0.240831,-0.251462,0.22787,0.2436,-0.356856,0.0643041,0.185803,-0.300767,1.20716,0.26684,-0.437404,0.881892,0.112564,-0.446235,0.839157,0.170482,-0.178397,0.0985716,-0.193341,-0.107653,1.26477,-0.119453,-0.23231,1.52168,-0.0587343,-0.299578,1.03123,-0.269999,-0.342647,1.57803,-0.0669133,-0.51788,0.785625,-0.164162,-0.34193,0.952512,-0.255769,-0.114942,0.0595541,-0.118674,-0.350269,0.467487,-0.230033,-0.0683541,0.927404,-0.00894269,-0.247061,1.36509,-0.173915,-0.239777,0.772966,-0.193606,-0.284887,0.352507,-0.246333,-0.344198,0.0623022,-0.177448,-0.286352,1.12906,-0.256053,-0.436929,0.861459,-0.144148,-0.433229,0.819803,-0.204124,-0.346966,1.14062,0.00706851,-0.0937127,1.17128,0.0144755
