Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0227256,0.0206669,0.0132634,0.0147238,0.0204233,0.0206296,0.0277161,0.0175346,0.0148724,0.0153813,0.0164214,0.0320422,0.0267877,0.0169873,0.0117268,0.0217637,0.0220283,0.0107893,0.0145418,0.0178765,0.030643,0.0227406,0.0211898,0.0111025,0.0287371,0.0179515,0.00967591,0.0217986,0.0122201,0.0303456,0.013476,0.0118699,0.0164,0.0266129,0.00695598,0.00977528,0.0105083,0.0234878,0.0292406
0,0.0216764,0.0194209,0.0137876,0.016509,0.0189712,0.0165641,0.0243777,0.0200238,0.019443,0.0176967,0.0160091,0.0326497,0.0125934,0.00813738,0.00681717,0.0148769,0.0169698,0.00748774,0.00824385,0.0168521,0.0240687,0.0326386,0.0138586,0.0128481,0.0122719,0.0291768,0.0115894,0.0120287,0.00938094,0.02849,0.0236752,0.00526055,0.020488,0.0151115,0.00331907,0.0105813,0.00981585,0.0160939,0.0264394
1,0.0216018,0.0194963,0.0131409,0.017168,0.0188201,0.0163978,0.0242317,0.0194111,0.0196843,0.0131341,0.0156278,0.0324765,0.0125954,0.00664495,0.00719401,0.0167406,0.0173816,0.00774759,0.00846023,0.0163777,0.0234159,0.0318434,0.0139,0.0120998,0.0119143,0.0291064,0.0119988,0.0117686,0.0085593,0.0278931,0.0232305,0.00558928,0.0194235,0.0139536,0.00398512,0.00967253,0.008375,0.0153013,0.0262705
2,0.0215665,0.0196147,0.0131969,0.0181795,0.0187542,0.0163115,0.0241078,0.0189244,0.0197487,0.0106141,0.0150354,0.0323326,0.0128595,0.00559514,0.00738108,0.0194337,0.0177501,0.00795768,0.00913532,0.0158064,0.0225855,0.0309346,0.0140024,0.0115253,0.0116544,0.0290186,0.0122845,0.0114571,0.00777217,0.0275874,0.0225752,0.00623815,0.0182091,0.012816,0.00441543,0.00908753,0.0072485,0.0148828,0.0260931
3,0.0215805,0.0198268,0.0133647,0.0194473,0.0186958,0.0162129,0.0238876,0.0183916,0.0196548,0.00961489,0.0142811,0.0322609,0.0133922,0.00516661,0.00721254,0.0231428,0.0181387,0.0080962,0.00981648,0.0151619,0.0218597,0.0298963,0.0141822,0.0111374,0.0114433,0.0287783,0.012378,0.0112149,0.00697764,0.0273713,0.0216796,0.00714728,0.0171387,0.0119468,0.00464125,0.00871696,0.00636403,0.0147909,0.0258549
4,0.0216145,0.0201255,0.0137144,0.020576,0.0186309,0.0160891,0.0235272,0.0177363,0.0193975,0.00906725,0.0135773,0.0322786,0.0142394,0.00540387,0.00700945,0.026729,0.0186401,0.00812414,0.0103711,0.0145652,0.0212356,0.0287448,0.0143959,0.0109418,0.0112429,0.0283454,0.0122791,0.0108179,0.00627001,0.0270628,0.0206788,0.00817247,0.0162838,0.011077,0.00469631,0.00846818,0.00564749,0.014571,0.0255194
5,0.0216316,0.020467,0.0145004,0.0212174,0.0184556,0.0159494,0.0230712,0.0169915,0.01904,0.00918485,0.0129384,0.032233,0.0153472,0.00616249,0.00702235,0.0288606,0.0193083,0.00801463,0.010754,0.0140061,0.0206742,0.0274904,0.0146118,0.0109334,0.0111568,0.0278223,0.0120684,0.0103526,0.00577996,0.0269788,0.0195614,0.00915783,0.0158646,0.0101588,0.00468229,0.00827954,0.00504623,0.0148127,0.0251126
6,0.0216314,0.0208135,0.0155624,0.0216526,0.018294,0.0158604,0.0226604,0.0163222,0.0186336,0.0100786,0.0124725,0.0321104,0.0166301,0.00728842,0.00739608,0.0307888,0.019869,0.0078282,0.0109906,0.0133982,0.0202683,0.0262998,0.0148068,0.011242,0.0111614,0.0272627,0.0118819,0.00967029,0.00555979,0.0273172,0.0184675,0.0100142,0.0159606,0.009222,0.00475656,0.00815808,0.00438098,0.0154091,0.0246864
7,0.0216218,0.0211239,0.0164624,0.0219695,0.01813,0.015778,0.0223737,0.0157954,0.018191,0.0113122,0.012272,0.031962,0.017862,0.00864423,0.00813224,0.0327845,0.0202664,0.0076148,0.0111729,0.0126247,0.020042,0.0252634,0.015007,0.0118715,0.0113561,0.0265015,0.0118037,0.00925423,0.00553363,0.0277141,0.0173373,0.0106925,0.0164233,0.00824963,0.0050003,0.00809808,0.00372038,0.01612,0.0243435
8,0.021615,0.0213748,0.0168577,0.0223658,0.0180725,0.0157841,0.0222719,0.0152576,0.0177422,0.0126191,0.0123235,0.0318503,0.0189651,0.0100474,0.00911293,0.0349449,0.0206391,0.00737402,0.011405,0.0118871,0.0198575,0.0244269,0.0152339,0.0124131,0.0116506,0.0257379,0.0117196,0.00871858,0.00563368,0.0280496,0.0162498,0.0111554,0.016983,0.00723858,0.00540598,0.00807734,0.00316265,0.0168491,0.0241264
