Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
197,0.0250425,0.012369,0.0072253,0.042789,0.00516248,0.0123783,0.0104352,0.0183259,0.00381521,0.00714725,0.0211325,0.0335585,0.0216203,0.00572818,0.00592115,0.0097821,0.0158962,0.00231864,0.005739,0.0105341,0.0211679,0.0102007,0.0120131,0.0192077,0.0127457,0.00949328,0.00753027,0.012121,0.0160103,0.0180994,0.00418167,0.0215234,0.00751503,0.00830504,0.0109289,0.0156563,0.0175409,0.0132195,0.0445408
198,0.0252116,0.0124577,0.00765761,0.0424231,0.00567471,0.0126149,0.0092581,0.0169807,0.0036308,0.0074983,0.0206573,0.0331722,0.0221104,0.00556707,0.0055949,0.0093383,0.0160518,0.0020183,0.00581863,0.0107558,0.0207049,0.0119673,0.0120246,0.0191694,0.0114862,0.0108636,0.00753331,0.0123985,0.0153153,0.0175842,0.00477458,0.0219933,0.00678971,0.0081257,0.0109844,0.0149485,0.0168361,0.0134899,0.044355
199,0.0254355,0.0125468,0.00800782,0.041982,0.00629637,0.0127998,0.00840931,0.0156771,0.00347428,0.00775643,0.0200481,0.0327915,0.0224804,0.0057049,0.00509702,0.00899319,0.0163131,0.00188031,0.00598189,0.010906,0.0201778,0.0136428,0.0121511,0.0191357,0.0103823,0.0124205,0.00760762,0.0125981,0.014457,0.0168647,0.00534276,0.022345,0.00606643,0.00790594,0.0109897,0.0148343,0.0161459,0.0137713,0.0442595
200,0.025739,0.0126167,0.00821265,0.0414082,0.00696229,0.0129477,0.00794288,0.0143577,0.0033891,0.00789764,0.0193307,0.032403,0.0227444,0.00625095,0.00446867,0.00867678,0.0165395,0.00217109,0.00616999,0.0110136,0.0195751,0.015145,0.0123183,0.019056,0.00945807,0.0140184,0.00768924,0.0126556,0.0135069,0.0163516,0.00588902,0.0225797,0.00548708,0.00763216,0.01095,0.0146928,0.0154977,0.0140881,0.0442171
201,0.0261627,0.012704,0.00825888,0.0406924,0.0076595,0.0130155,0.00783393,0.0130496,0.00337749,0.00790859,0.0184736,0.0319978,0.0228812,0.00712663,0.00381767,0.00845695,0.0166516,0.00274809,0.0064243,0.0110294,0.0188965,0.0163111,0.0124967,0.0188835,0.00873002,0.0154852,0.00778751,0.0125308,0.0124969,0.0159926,0.00639661,0.0226137,0.00515646,0.00727233,0.0108355,0.0143183,0.0149321,0.0144548,0.0442275
202,0.0267154,0.0128546,0.00816878,0.0398478,0.00829813,0.0129045,0.00799837,0.0118378,0.00343713,0.00779065,0.017482,0.0315707,0.0228964,0.00822302,0.00317548,0.00835936,0.0166367,0.00347341,0.00679456,0.0109035,0.0180926,0.0171575,0.0127176,0.0185701,0.00819617,0.0166002,0.00786111,0.0122356,0.0114734,0.0156658,0.00684188,0.0224994,0.0050872,0.0068561,0.0106087,0.013895,0.0143807,0.0148736,0.0442891
203,0.0273882,0.0130567,0.00795344,0.0389061,0.00878436,0.0125429,0.00831717,0.0108461,0.0035556,0.00753858,0.0163425,0.0310948,0.0228014,0.00950185,0.00252,0.00836841,0.016501,0.00458426,0.00731903,0.0106093,0.0172051,0.0176514,0.0129802,0.0180783,0.00783735,0.0173774,0.00788421,0.0117703,0.0104363,0.0153836,0.00721987,0.022252,0.00528543,0.00642079,0.010264,0.0133767,0.0138238,0.0153749,0.0445093
204,0.0281867,0.0132998,0.00770409,0.0379374,0.0090853,0.0118949,0.0086332,0.0101331,0.00370878,0.00714814,0.0151485,0.0306,0.0226448,0.0109937,0.00194196,0.00845221,0.0162289,0.00581726,0.00809859,0.0102023,0.0162846,0.017727,0.0132187,0.0173791,0.00766558,0.0178592,0.00781168,0.0111021,0.00931851,0.015132,0.00756301,0.0218254,0.00573697,0.00599277,0.00979083,0.0127638,0.0132595,0.0159607,0.0450167
205,0.0291217,0.0135591,0.00733742,0.0368817,0.00922864,0.0108977,0.00879684,0.00975306,0.00378663,0.00666587,0.0140141,0.0300536,0.0224601,0.0126115,0.00163862,0.00858637,0.0157945,0.00724452,0.00925118,0.00987672,0.0154157,0.0174312,0.0134473,0.0164667,0.0076026,0.0180418,0.00759835,0.0102326,0.00809264,0.0149467,0.00794492,0.0212866,0.00644919,0.00557735,0.0091625,0.011927,0.0124951,0.0166231,0.0458767
206,0.0302081,0.0138304,0.00683512,0.035793,0.00918051,0.00951335,0.0087034,0.0097051,0.00374459,0.00609985,0.0130437,0.0294832,0.0222826,0.0143062,0.00211222,0.00875608,0.0152688,0.00916517,0.010403,0.00950702,0.0147538,0.0169178,0.0136541,0.0153227,0.00752247,0.0179318,0.00726201,0.00927402,0.00677129,0.0148559,0.00842535,0.0208373,0.00741322,0.00519715,0.00840704,0.0108892,0.0114736,0.0173244,0.0471037
207,0.0313933,0.0141407,0.00625019,0.0346604,0.00895071,0.0077276,0.00827941,0.0100199,0.00353962,0.00546045,0.0122976,0.0288961,0.022115,0.0159541,0.0031288,0.00895325,0.0147271,0.0111601,0.0114678,0.00916638,0.0144343,0.016313,0.013855,0.0139662,0.00742174,0.0175444,0.00688942,0.00826851,0.00538563,0.0149189,0.00891055,0.0202804,0.00866247,0.00487605,0.00754289,0.00963243,0.0100365,0.0180279,0.0487024
208,0.0325871,0.0144808,0.00562897,0.033608,0.00858815,0.00563162,0.00749297,0.0107008,0.00311832,0.00477144,0.0118345,0.0282666,0.0220208,0.0174543,0.00426042,0.00917061,0.0143035,0.0132775,0.0125025,0.00890186,0.0142983,0.0158789,0.0140511,0.0124596,0.00728048,0.0169182,0.00639951,0.00723656,0.00400745,0.0150759,0.00947454,0.0195267,0.0101232,0.00463409,0.00664737,0.00816553,0.00853656,0.0186702,0.0506979
209,0.0336472,0.0148741,0.00500424,0.0327726,0.00812478,0.00348268,0.00632921,0.0115922,0.0025321,0.00410516,0.0115815,0.0276654,0.0220445,0.0187761,0.00534606,0.00939398,0.0142189,0.0154704,0.0137168,0.00874613,0.0139366,0.015862,0.0142624,0.0108053,0.00716612,0.0161695,0.00581634,0.00629321,0.00287949,0.0153382,0.0102755,0.0185816,0.0116477,0.00449059,0.00581591,0.00659365,0.00704526,0.0192,0.0530799
210,0.0344249,0.015285,0.00438332,0.0321645,0.00770602,0.00243381,0.00484979,0.0127275,0.00208171,0.00353434,0.0114023,0.0270927,0.0222443,0.0198916,0.00622045,0.0095895,0.0146284,0.0167301,0.0149677,0.00868232,0.0130552,0.0165074,0.0144815,0.00916414,0.00712796,0.0154026,0.00527964,0.00555367,0.00237663,0.0156975,0.0111209,0.0175189,0.0130734,0.00443474,0.00524176,0.00515625,0.00575485,0.0196743,0.055808
211,0.034786,0.015593,0.00375209,0.0314778,0.00747001,0.00427814,0.00321339,0.0141022,0.00246533,0.0031164,0.0111779,0.026583,0.0226443,0.0207758,0.00682901,0.00973733,0.0157372,0.0173227,0.0160922,0.00871408,0.0121375,0.0179893,0.0147353,0.00788166,0.00740502,0.0147288,0.00505826,0.00511215,0.00263846,0.0161462,0.0119599,0.0163769,0.0142626,0.0044428,0.00509112,0.00447938,0.00545538,0.0200631,0.058765
212,0.0347034,0.0155474,0.00315312,0.031531,0.00766342,0.0071858,0.00221995,0.015674,0.00387612,0.00293261,0.0108136,0.0262611,0.0231952,0.0213296,0.00714582,0.00984766,0.0173222,0.0174539,0.0169998,0.00882658,0.0125143,0.0201496,0.0150741,0.00742835,0.00803577,0.0143147,0.0052827,0.00496342,0.00319739,0.0167117,0.012962,0.0151871,0.0151094,0.00451216,0.00534389,0.00506156,0.00658119,0.0202002,0.0615676
213,0.0339098,0.0143479,0.0022864,0.0324476,0.00855279,0.00983885,0.00399421,0.016972,0.00555946,0.0030442,0.0103259,0.0265814,0.0232441,0.0219329,0.00769891,0.00982655,0.0190122,0.0167616,0.017364,0.00899941,0.0116579,0.0221305,0.0157184,0.00743332,0.0094548,0.0139004,0.00526489,0.00521999,0.00403937,0.0175026,0.0139152,0.0135132,0.0161031,0.00436172,0.00582028,0.00621995,0.00808619,0.0193799,0.063438
214,0.0327778,0.0122005,0.00189403,0.0330331,0.0105546,0.0118922,0.00736131,0.018306,0.00737375,0.00387336,0.00989325,0.0274769,0.0229383,0.0225122,0.00843093,0.00984051,0.0204652,0.0152222,0.0173869,0.0093327,0.0101116,0.0232967,0.0168148,0.00761735,0.0116214,0.0136286,0.00524109,0.0060018,0.00517013,0.0186008,0.0144604,0.011667,0.017127,0.00432767,0.00613135,0.00738957,0.00958071,0.0177793,0.0642486
215,0.0314782,0.00957817,0.00267039,0.0338493,0.0134311,0.0132934,0.0112175,0.0200106,0.0092149,0.00522684,0.00961701,0.0288649,0.0223955,0.0230337,0.00930246,0.0099961,0.0215676,0.0127927,0.0173812,0.00984856,0.0141555,0.0235651,0.0183911,0.00775482,0.0142169,0.013607,0.00520761,0.00714683,0.00644317,0.02,0.0145992,0.00993649,0.0181554,0.00462358,0.00627064,0.00772411,0.0106076,0.0157922,0.063719
216,0.0301457,0.00714137,0.00400714,0.0347144,0.0167558,0.0145828,0.0151797,0.0222964,0.010829,0.00674865,0.00952431,0.0305453,0.0217674,0.0235885,0.0102579,0.0102927,0.0224252,0.0099126,0.0174054,0.010494,0.0173807,0.0232007,0.020274,0.00802714,0.0169875,0.0139124,0.00501721,0.00837286,0.00768862,0.0215815,0.0144008,0.00854783,0.0191542,0.00524688,0.00627123,0.00715651,0.0110531,0.0139661,0.0620081
217,0.0290062,0.00566966,0.00539762,0.0353193,0.0201467,0.0166172,0.0189762,0.0251762,0.0118401,0.00816864,0.00962793,0.0322734,0.021242,0.0241599,0.011187,0.0106582,0.0227901,0.00749192,0.017685,0.0111419,0.0178433,0.0224935,0.0222534,0.00868979,0.0197895,0.0146325,0.00463118,0.00951712,0.00878068,0.0231291,0.0139852,0.00778243,0.0200723,0.00605698,0.00611813,0.00591703,0.0110396,0.0127336,0.0597286
218,0.0282206,0.0055128,0.00663911,0.0357124,0.0232989,0.0199228,0.0223938,0.0284237,0.0120146,0.00940188,0.00988464,0.0338461,0.0209524,0.0247801,0.0121251,0.011025,0.0224606,0.00658511,0.0176694,0.0117093,0.0184736,0.0216188,0.0241652,0.00987127,0.0223093,0.0160468,0.00400098,0.0105034,0.00971953,0.0245122,0.0136073,0.00790776,0.0208893,0.00689296,0.00567546,0.00451987,0.0110153,0.0121907,0.0575128
219,0.0278681,0.00606453,0.0076731,0.0363119,0.0259852,0.0243414,0.0253039,0.0315921,0.0114294,0.0104022,0.0102541,0.0351399,0.0208839,0.0254326,0.0129045,0.0113438,0.0211266,0.00723434,0.0171069,0.0121324,0.019243,0.0205984,0.0258716,0.0116554,0.0245535,0.0183238,0.00321927,0.0112355,0.0104835,0.0256658,0.0133266,0.00844919,0.0215751,0.00764888,0.00495919,0.00401551,0.0112388,0.0121756,0.0561606
220,0.0278949,0.00663876,0.00849264,0.036591,0.0281366,0.0294307,0.0276331,0.0343482,0.0105225,0.0111517,0.0106473,0.0360915,0.0208821,0.0260521,0.0135851,0.011551,0.0194741,0.00829099,0.0159646,0.0123696,0.0196784,0.0193951,0.0272773,0.0137966,0.0264251,0.0211885,0.00262135,0.01171,0.0110683,0.0265779,0.0130649,0.00884511,0.0221635,0.00827002,0.00453354,0.00533582,0.011619,0.0123909,0.0558696
221,0.0281244,0.00696362,0.00909092,0.0365076,0.0297433,0.0346584,0.0293587,0.0365777,0.0100422,0.0116755,0.011003,0.0366753,0.0207408,0.0262536,0.0141853,0.0116212,0.017896,0.00911021,0.0149093,0.012421,0.0194174,0.0180595,0.0283049,0.0158549,0.0277145,0.0242912,0.00287491,0.0119432,0.0114956,0.0272079,0.0127463,0.00907196,0.0226588,0.00874142,0.00538421,0.00733408,0.0120885,0.0125373,0.055557
222,0.0283545,0.00701287,0.00949636,0.0362232,0.0307926,0.0397101,0.0305087,0.0385044,0.0107187,0.0120053,0.0113029,0.0369379,0.0203369,0.0261752,0.0146984,0.0115763,0.0168069,0.0095629,0.0141485,0.0123039,0.0184092,0.0166865,0.0289718,0.0175991,0.0285941,0.0272044,0.00381841,0.0119951,0.0117468,0.0275685,0.0123388,0.00917621,0.0229084,0.00906525,0.00749266,0.00901812,0.0125657,0.0124591,0.0551366
223,0.0284763,0.00684518,0.00975788,0.0358336,0.0313805,0.0443812,0.0311678,0.0402127,0.0127793,0.0121632,0.0115403,0.0369255,0.0196832,0.0260988,0.0150117,0.0114415,0.0166772,0.0097272,0.014282,0.0120543,0.0178319,0.0153636,0.0293081,0.01895,0.0291379,0.0295856,0.00500687,0.0118996,0.0118098,0.0275993,0.0118172,0.0092007,0.0230621,0.0092663,0.00994914,0.0101127,0.0129173,0.0120693,0.0544432
