Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0225469,0.0290609,0.0268962,0.0367846,0.0363268,0.0368976,0.0661261,0.0240402,0.0292836,0.0257403,0.0140786,0.0375406,0.0161374,0.0144946,0.0186885,0.0306967,0.0232037,0.0287787,0.0276421,0.0177688,0.033533,0.0557948,0.0412485,0.0337584,0.0631164,0.024909,0.0277523,0.0249317,0.0110074,0.0303997,0.057882,0.012857,0.0178724,0.026332,0.0375058,0.0242304,0.0214041,0.0378939,0.0297609
0,0.0258114,0.0234516,0.0284174,0.0334169,0.0587668,0.0426937,0.0862943,0.0288469,0.0311319,0.0238537,0.0148471,0.0329998,0.0245682,0.0143646,0.0176444,0.0286017,0.0286266,0.0330831,0.0320821,0.0115986,0.0312711,0.0365929,0.0485687,0.0469448,0.0622809,0.028271,0.0360623,0.0404725,0.00981915,0.036329,0.0452716,0.00911786,0.0223597,0.0335473,0.0411826,0.0305043,0.0263413,0.0216241,0.0213809
1,0.0247319,0.0220568,0.0272562,0.0349611,0.0549653,0.0387888,0.0832435,0.0226255,0.0288316,0.022453,0.0110233,0.0335253,0.0275066,0.0105791,0.0140921,0.0287716,0.0223363,0.0293716,0.0290783,0.0132059,0.0315599,0.0353682,0.0468772,0.0404617,0.062657,0.025591,0.0311298,0.0384102,0.0100368,0.0300543,0.0398954,0.00811089,0.0222294,0.034074,0.0352367,0.0256663,0.022509,0.0182054,0.0295412
2,0.0231241,0.0216343,0.0266636,0.0362033,0.0511362,0.0363129,0.0801005,0.0188399,0.0281583,0.0215196,0.0111873,0.034245,0.0312391,0.00825152,0.0120156,0.0294147,0.0184299,0.0272748,0.0280228,0.0162211,0.03158,0.0342128,0.0452151,0.0357678,0.0630021,0.0244004,0.0274927,0.0373256,0.0108997,0.0275366,0.0338996,0.00797721,0.0218405,0.0361217,0.0306222,0.0231082,0.0207027,0.0181374,0.0338526
3,0.0217636,0.0219103,0.0265024,0.0367932,0.0474996,0.0347979,0.077045,0.0169957,0.0276294,0.0210755,0.0128782,0.0345609,0.0343638,0.00688553,0.0112529,0.0302351,0.0167827,0.0262447,0.0280702,0.0188127,0.0313628,0.0322354,0.0437122,0.0324487,0.0632765,0.0238053,0.0252983,0.0366675,0.0126245,0.0269367,0.0280805,0.00972769,0.0213912,0.0383657,0.0273431,0.0218582,0.0203569,0.0197064,0.0341098
4,0.0218834,0.022409,0.0264873,0.0365769,0.0443807,0.0336833,0.0741834,0.0163579,0.0268186,0.0208604,0.0149112,0.0348671,0.0367484,0.00613402,0.0117177,0.0309503,0.0166408,0.0258474,0.0280794,0.0206698,0.0315562,0.0299581,0.0425677,0.029966,0.0634948,0.0235205,0.0244914,0.0361841,0.0144949,0.027058,0.0234665,0.012541,0.0210351,0.040278,0.0254024,0.0215887,0.0208024,0.0217246,0.0316428
5,0.0237656,0.0225932,0.026551,0.0357844,0.0419448,0.0325495,0.0716628,0.0165057,0.0257896,0.0207724,0.0168747,0.0349647,0.0392404,0.0072131,0.0127097,0.0316025,0.0171511,0.0256642,0.0278096,0.0218253,0.0317545,0.0281917,0.0418548,0.0280742,0.0636348,0.0231147,0.0246052,0.0357915,0.0159367,0.0277107,0.0206887,0.0152072,0.0209644,0.0417298,0.0246077,0.0217453,0.0213669,0.0236932,0.028527
6,0.0265739,0.0225075,0.0266493,0.0347407,0.0402326,0.0312115,0.0695981,0.0170993,0.0247855,0.0207053,0.0181015,0.0343266,0.0421257,0.00880863,0.0134327,0.03221,0.0178237,0.0253981,0.0274097,0.0224774,0.0320932,0.0277127,0.0414783,0.0265966,0.0636459,0.0222166,0.0246464,0.0354755,0.0167642,0.0285391,0.01972,0.0174034,0.0211215,0.0427846,0.0245545,0.0219129,0.0217495,0.0250754,0.0263345
7,0.0291717,0.0226175,0.0265713,0.033676,0.0392183,0.0300359,0.0680526,0.01812,0.0238263,0.0206215,0.0180898,0.0329843,0.0450005,0.00940207,0.0135626,0.0327861,0.0184719,0.0254567,0.0270731,0.0227813,0.0326302,0.028518,0.0413377,0.0251195,0.0635239,0.0208859,0.0242292,0.035219,0.0171481,0.0290401,0.0201132,0.0190365,0.0214174,0.0433041,0.0248017,0.0221534,0.0221158,0.0260989,0.0256469
8,0.0304423,0.0231364,0.0265076,0.0326815,0.0387741,0.0292045,0.067002,0.0194422,0.0229661,0.020554,0.0171682,0.0318458,0.0469714,0.00902053,0.0132258,0.0333186,0.0191862,0.0258011,0.0268275,0.022871,0.0331016,0.0301792,0.0412752,0.023788,0.063151,0.0192569,0.0234515,0.0350483,0.0172236,0.0294281,0.0214136,0.0200465,0.0218127,0.0432215,0.0252252,0.022801,0.0220949,0.0266172,0.0265114
