Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
929,0.0253482,0.049901,0.0175018,0.0353359,0.0307001,0.0287228,0.0454401,0.0338574,0.0484628,0.0148769,0.0133168,0.0362024,0.0526056,0.0191517,0.0133511,0.0203575,0.0645651,0.0258861,0.0244597,0.0193772,0.0451095,0.023947,0.031537,0.0146726,0.0531857,0.0447768,0.0292259,0.0274856,0.0130115,0.0425001,0.032059,0.0105273,0.0275622,0.0280005,0.014266,0.0314097,0.0302587,0.0637161,0.025932
930,0.0254145,0.0500223,0.0174255,0.0352528,0.0303123,0.0291607,0.0452111,0.0332281,0.0482706,0.0148843,0.0133394,0.0363351,0.0525279,0.0193941,0.0133849,0.0201938,0.0643415,0.0262107,0.0242299,0.0194128,0.045043,0.0239761,0.0312581,0.0142691,0.0530961,0.0444774,0.0289528,0.0269062,0.0128902,0.0425602,0.0320912,0.0103077,0.0271485,0.0272281,0.0140298,0.0313023,0.0301483,0.0646296,0.0261812
931,0.0255268,0.0501311,0.0173619,0.0351419,0.0296891,0.0294925,0.0449458,0.032718,0.0480666,0.0147727,0.0132733,0.0365247,0.0523856,0.0195823,0.0134543,0.0200723,0.0640234,0.026519,0.0241728,0.0194648,0.0448606,0.0240424,0.0309567,0.0138278,0.052895,0.0443452,0.0286305,0.0261712,0.0127611,0.0423795,0.0320834,0.0102533,0.0269694,0.0267895,0.0137737,0.0311818,0.0301889,0.0653397,0.0263239
932,0.0256828,0.0502306,0.0173145,0.0348882,0.029532,0.0297159,0.0446364,0.0323916,0.0478445,0.0146412,0.01316,0.0367525,0.0523197,0.0196155,0.0136035,0.0198961,0.0636641,0.0268323,0.0238453,0.0194854,0.0449415,0.0241496,0.0306303,0.013386,0.0526378,0.0444069,0.0283209,0.0254114,0.0126414,0.0422945,0.0320498,0.0102574,0.0269722,0.0263216,0.0135314,0.0311207,0.0303902,0.0658268,0.0265365
933,0.0258675,0.0502941,0.0172176,0.0345629,0.0294635,0.0298512,0.0442672,0.0321844,0.0476294,0.0146464,0.0130335,0.0370735,0.0523511,0.0195589,0.013768,0.0196892,0.0632606,0.0271488,0.0236844,0.0194437,0.0450326,0.024312,0.0302731,0.0129413,0.0523398,0.0446554,0.028023,0.0247294,0.012537,0.042122,0.0320195,0.0102595,0.0267488,0.025568,0.013274,0.0311769,0.0303699,0.066068,0.0267991
934,0.0261003,0.0503301,0.0171401,0.0345681,0.0295759,0.0298988,0.0439077,0.0320229,0.0473971,0.0146701,0.012938,0.0374101,0.0523655,0.019503,0.0138777,0.0195168,0.0628037,0.0274641,0.0237269,0.0193551,0.0450435,0.0245223,0.0299134,0.012503,0.0519871,0.0450471,0.0277243,0.0241169,0.0125097,0.0420992,0.0319792,0.0102686,0.026569,0.024638,0.0129997,0.031338,0.0303845,0.0661199,0.0270667
935,0.0263426,0.0503571,0.0170758,0.0344561,0.0291634,0.0298784,0.0435353,0.0318985,0.0471603,0.0145774,0.012892,0.0376677,0.0523151,0.0194536,0.014074,0.0193623,0.0623155,0.0277475,0.0238355,0.0192126,0.0449829,0.024782,0.0295363,0.0120954,0.0516267,0.0454802,0.0274606,0.0234807,0.0125586,0.041919,0.0319407,0.010282,0.0265347,0.0239495,0.0127381,0.0313348,0.0305039,0.0660166,0.0273414
936,0.0265471,0.050371,0.0169989,0.0345809,0.028935,0.0298403,0.0431626,0.0319544,0.0469291,0.0144323,0.0128544,0.037879,0.0522148,0.0194254,0.0143028,0.0191417,0.0618424,0.0280324,0.0239419,0.0189714,0.0448823,0.0250568,0.0291819,0.011709,0.0512239,0.0459209,0.0272403,0.0227162,0.0126899,0.0418853,0.0318918,0.0102983,0.0265843,0.0234171,0.012561,0.0312609,0.0307298,0.0657651,0.0276307
937,0.0267583,0.0503425,0.0169048,0.0345779,0.0290877,0.0297583,0.0428109,0.0319947,0.0467593,0.0142539,0.0128278,0.0380401,0.0521865,0.0194352,0.0144452,0.0189708,0.0613566,0.0282863,0.0240579,0.0186867,0.0448258,0.0253309,0.0288461,0.0113411,0.0507828,0.0463742,0.0270221,0.0219659,0.012814,0.0416886,0.0318359,0.0103235,0.0265726,0.0229351,0.0124862,0.031287,0.0310074,0.0654305,0.0278863
938,0.0269906,0.0502823,0.0168102,0.0344729,0.0292231,0.0296774,0.0424655,0.0320356,0.0465534,0.0140853,0.0128406,0.0381634,0.052213,0.0195193,0.0145674,0.0190638,0.0608595,0.0284837,0.0241344,0.0183501,0.0448082,0.0255748,0.0285115,0.0110237,0.050362,0.0469075,0.026744,0.0212981,0.0127527,0.0416073,0.0317653,0.0103659,0.0264454,0.0223277,0.0123392,0.0313738,0.0311256,0.0650584,0.0280915
939,0.0271994,0.0502105,0.0166847,0.0343406,0.0292444,0.0296218,0.0421134,0.0320981,0.0461549,0.0139168,0.012861,0.0381892,0.0522104,0.0196702,0.0147535,0.0190816,0.0603792,0.0286491,0.0241959,0.0180387,0.0447923,0.0258312,0.028203,0.0107571,0.0499479,0.0476086,0.0264918,0.0206896,0.0126121,0.0415873,0.0316752,0.0104203,0.0262001,0.0214556,0.0121295,0.0314162,0.0312459,0.06467,0.0282597
940,0.0274107,0.0501578,0.0165259,0.0342293,0.0293521,0.0295647,0.0417944,0.0323241,0.0458229,0.0138275,0.0128804,0.0381561,0.0521199,0.0198297,0.0149461,0.0189929,0.0599288,0.0287753,0.0242405,0.0174711,0.0447567,0.0260703,0.0279537,0.0105296,0.0495428,0.0482747,0.02622,0.0201254,0.0124072,0.0416621,0.0315917,0.0104668,0.0258642,0.0205645,0.0119986,0.0313657,0.0313771,0.0643027,0.0284083
941,0.0276573,0.0500784,0.0164223,0.0341193,0.029522,0.029486,0.0414849,0.0325516,0.045552,0.0138799,0.0129518,0.0380946,0.0519751,0.0200662,0.0152989,0.0188782,0.0594781,0.0288711,0.0242473,0.016732,0.0447001,0.0263042,0.0277062,0.0103324,0.0491312,0.0488375,0.0259511,0.0196006,0.0121229,0.0418689,0.0315266,0.0104989,0.0255017,0.0196923,0.0119127,0.0312864,0.0315348,0.0639877,0.0285491
942,0.0278727,0.0499668,0.0163636,0.0340298,0.029536,0.0294191,0.0412152,0.0328008,0.0453027,0.0139683,0.0130833,0.0379883,0.0518817,0.0203533,0.0155539,0.0189231,0.0590224,0.0289483,0.0243456,0.0160867,0.0446218,0.0265145,0.0274705,0.0101803,0.0487523,0.0494903,0.0256987,0.0189989,0.011767,0.0418316,0.0314564,0.0105229,0.025251,0.0188648,0.0118425,0.0311599,0.0316876,0.0637679,0.0287091
943,0.0281001,0.0498709,0.016284,0.0339947,0.0295224,0.0293532,0.0409556,0.0329533,0.0451702,0.0136099,0.0132466,0.0378849,0.0517218,0.0206693,0.0156555,0.0190164,0.058611,0.0290266,0.024451,0.015482,0.0444819,0.0267404,0.0272986,0.0100677,0.0483858,0.0502362,0.0254648,0.0184566,0.0113699,0.0418156,0.0313865,0.0105176,0.0252966,0.0180022,0.0117835,0.0310901,0.0317941,0.0636524,0.0289185
944,0.0283458,0.0497776,0.0161238,0.0339748,0.0295097,0.0292673,0.0407052,0.0330286,0.0450474,0.0133356,0.0133836,0.0378118,0.0516211,0.0209756,0.0156704,0.0191092,0.0582348,0.029067,0.0245239,0.0148785,0.0442959,0.0269693,0.0271268,0.00995209,0.048045,0.0510399,0.0252541,0.0179912,0.010984,0.0415445,0.0313257,0.0104826,0.0255901,0.0171567,0.0116665,0.0313445,0.0318507,0.0636171,0.0291153
945,0.0285802,0.0496832,0.0159394,0.0339392,0.0294001,0.0291708,0.0405051,0.0331116,0.0449396,0.013112,0.0135164,0.037774,0.0516423,0.0212828,0.0157362,0.0192415,0.0578676,0.0290751,0.0246043,0.0142906,0.0440356,0.0271718,0.0269442,0.00981439,0.0477441,0.0517511,0.02504,0.0176871,0.0106878,0.0413244,0.0312883,0.0104084,0.0257223,0.0164608,0.0115576,0.0317272,0.0318951,0.0636701,0.0293664
