Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
203,0.0247759,0.0301229,0.023691,0.0309121,0.0668177,0.0136919,0.113413,0.0132398,0.0177717,0.0221336,0.00891198,0.0306377,0.0272943,0.000830931,0.0195593,0.0274904,0.0106896,0.0201805,0.0233482,0.00405056,0.0210539,0.0520068,0.0380511,0.0311195,0.0814811,0.0201157,0.0240795,0.0193167,0.0111252,0.0319798,0.0480569,0.0193862,0.0166359,0.0269805,0.0309029,0.0234598,0.0232304,0.0378146,0.0267495
204,0.0248441,0.0300949,0.0229568,0.0299344,0.0664338,0.0144799,0.112802,0.013434,0.0182728,0.0215113,0.00889858,0.0298415,0.0272596,0.00230741,0.0165546,0.025516,0.0110427,0.0206285,0.0237875,0.00498176,0.0204895,0.0524989,0.03806,0.0305287,0.080749,0.0204793,0.0237644,0.0217831,0.0107756,0.0321779,0.0484853,0.0186364,0.0160039,0.0283469,0.0307507,0.0237115,0.0232836,0.0371044,0.0268078
205,0.0249108,0.0301553,0.0225758,0.0290369,0.0658188,0.0153562,0.111918,0.0137524,0.0188569,0.0212639,0.00868473,0.0291908,0.0272265,0.00300038,0.014054,0.0236076,0.0114881,0.0210804,0.0242295,0.00586504,0.0206402,0.0530673,0.0380727,0.0298995,0.0800387,0.0210296,0.0234309,0.0235613,0.0106016,0.0323764,0.0489129,0.0176654,0.0153367,0.029402,0.0305558,0.0237745,0.023264,0.0363004,0.0268212
206,0.0250138,0.0302777,0.0225401,0.0284126,0.0649627,0.0162878,0.110786,0.0141216,0.0194328,0.0213065,0.00842202,0.0288636,0.0271901,0.00260026,0.011992,0.0222989,0.0120386,0.0215312,0.0246702,0.0063944,0.0201127,0.0536788,0.0381767,0.0292749,0.079388,0.0216023,0.0231005,0.024632,0.0104305,0.0324853,0.049214,0.0164804,0.0146704,0.0301032,0.0303289,0.0236784,0.0231924,0.0354165,0.0267847
207,0.0251699,0.030449,0.0227437,0.0281801,0.0638821,0.017243,0.10945,0.0144653,0.0198991,0.0213903,0.00847844,0.0288419,0.027217,0.00366222,0.010347,0.0214962,0.01265,0.0218784,0.0250843,0.00693958,0.0196405,0.0542862,0.0383384,0.0286189,0.0786383,0.0221464,0.0227796,0.0252792,0.00987999,0.0323576,0.0492942,0.0150812,0.0142092,0.0304413,0.030068,0.0236717,0.0231204,0.0344939,0.0266743
208,0.0254054,0.0306373,0.023018,0.0281786,0.0626145,0.0181923,0.107976,0.0147595,0.0204655,0.0213968,0.0086402,0.0291153,0.0273583,0.00690309,0.0090267,0.0209783,0.0133068,0.0221492,0.0254136,0.00688718,0.0194587,0.0547331,0.0385205,0.0279173,0.0778386,0.0226724,0.0224817,0.0256017,0.00886742,0.0318786,0.0491207,0.0135793,0.0143074,0.0304128,0.029768,0.0235052,0.0231281,0.0335686,0.0264926
209,0.0256909,0.0308289,0.0233144,0.0282841,0.0612129,0.0191248,0.106414,0.014953,0.0210398,0.021616,0.0084925,0.0296179,0.0276387,0.00959152,0.008077,0.0204399,0.0141272,0.0224472,0.0257145,0.00624107,0.019637,0.0548324,0.0387285,0.0271511,0.077045,0.0231545,0.0221797,0.0255999,0.00756275,0.0310431,0.0487328,0.012128,0.0148719,0.0297584,0.0294285,0.0231515,0.023184,0.0326504,0.0262535
210,0.0259933,0.0310195,0.0238492,0.0284346,0.0597041,0.0200373,0.104815,0.0151388,0.0215495,0.021866,0.00814649,0.030217,0.0280371,0.0101739,0.00774621,0.0201826,0.0149778,0.022794,0.0259656,0.00544742,0.0199614,0.0543674,0.0390044,0.0263389,0.0762946,0.0235869,0.0217378,0.0253273,0.0061266,0.03002,0.0482328,0.0108004,0.0153119,0.0284442,0.0290753,0.0228307,0.0233134,0.031743,0.0259237
211,0.0263395,0.031225,0.0244405,0.0286375,0.058132,0.0209011,0.103248,0.0154205,0.0219668,0.0219445,0.00800428,0.0307307,0.028512,0.00886778,0.00820393,0.0201229,0.0157855,0.0230905,0.0262187,0.00527491,0.0203368,0.0541366,0.0394041,0.0255228,0.0758347,0.0240379,0.0213214,0.0245976,0.00481558,0.0286773,0.0477041,0.00973921,0.0153447,0.0258007,0.0287187,0.0226267,0.0235376,0.030894,0.0255678
212,0.0267642,0.0314249,0.0248553,0.0288095,0.0565673,0.0217091,0.101744,0.0154376,0.0223393,0.0218247,0.00820008,0.0311805,0.0289388,0.00669634,0.00896152,0.0199852,0.0165198,0.0231684,0.0264347,0.00592935,0.0208303,0.0542541,0.0399292,0.0247312,0.0754937,0.0244048,0.0209677,0.0232788,0.00412525,0.0271273,0.0472149,0.00896806,0.014887,0.0225806,0.0283898,0.0224993,0.0238308,0.0301706,0.0253754
