Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,x39,x40
538,0.0495334,0.0247,0.00999902,0.0380858,0.00383157,0.116158,0.0310507,0.0789495,0.0763567,0.0131827,0.0223304,0.0247149,0.0697155,0.0175845,0.0100913,0.00473761,0.09736,0.0720495,0.0674273,0.00665729,0.0488984,0.0805382,0.0274703,0.052929,0.0250285,0.0603028,0.044416,0.00432675,0.00412006,0.0503948,0.124368,0.0187435,0.0158085,0.000412061,0.0366422,0.0114306,0.0169913,0.0254077,0.0581102,0,0
539,0.0495165,0.0246726,0.0100099,0.0381124,0.00386046,0.116149,0.0310864,0.0789274,0.076362,0.0131976,0.0223516,0.0247353,0.0696844,0.0176017,0.0101049,0.00472435,0.0973477,0.0720718,0.0674199,0.00664702,0.0489261,0.0805537,0.027499,0.0529682,0.0250594,0.0603456,0.0444412,0.00434094,0.00414088,0.05045,0.124366,0.0187788,0.0158254,0.000427347,0.0366704,0.0114336,0.0170368,0.0253989,0.0581168,0,0
540,0.0495085,0.0246461,0.0100139,0.0381329,0.0038942,0.116131,0.0311211,0.0788984,0.0763595,0.0132107,0.0223706,0.0247428,0.0696485,0.0176169,0.0101216,0.00470896,0.0973323,0.0720415,0.0674023,0.00664456,0.0489453,0.0805613,0.0275355,0.0530191,0.0250943,0.0603601,0.044456,0.00435774,0.00415865,0.0504959,0.124366,0.0188178,0.0158311,0.000436163,0.0367066,0.0114204,0.0170614,0.0253822,0.0581276,0,0
541,0.0495087,0.0246208,0.010025,0.0381534,0.00392259,0.116101,0.0311488,0.0788685,0.0763481,0.0132354,0.0223939,0.0247515,0.0696182,0.017634,0.0101395,0.00470045,0.0973117,0.0720142,0.0673859,0.00665271,0.0489512,0.0805801,0.0275566,0.0530546,0.0251239,0.0603577,0.0444372,0.00436842,0.00417042,0.0505378,0.124371,0.0188552,0.0158353,0.00044426,0.0367522,0.0113978,0.017056,0.0253682,0.0581458,0,0
542,0.0495144,0.0245935,0.0100475,0.0381758,0.00394946,0.116062,0.0311584,0.0788433,0.0763274,0.0132572,0.0224225,0.0247545,0.0696283,0.0176607,0.0101554,0.00469623,0.0972803,0.0720093,0.0673739,0.00663835,0.0489526,0.0805983,0.0275573,0.0530672,0.0251451,0.0603316,0.0443957,0.0043835,0.00417565,0.0505752,0.124386,0.0188827,0.0158475,0.000450304,0.0367871,0.0113725,0.0170341,0.0253619,0.058169,0,0
543,0.0495213,0.0245709,0.0100615,0.0381971,0.00397608,0.116024,0.0311564,0.0788094,0.0763076,0.0132683,0.0224495,0.0247447,0.0697033,0.0176843,0.0101666,0.00468848,0.0972444,0.0720025,0.067353,0.00663219,0.0489517,0.0806215,0.0275567,0.053068,0.0251617,0.0602875,0.0444239,0.00438746,0.00418236,0.0506053,0.124415,0.0189066,0.0158461,0.000457567,0.0368098,0.0113433,0.0170108,0.0253482,0.0581937,0,0
544,0.0495272,0.024558,0.0100763,0.0382317,0.00399559,0.115991,0.0311551,0.0787844,0.076295,0.0132863,0.0224735,0.0247388,0.0697221,0.0177019,0.0101748,0.00468237,0.0972218,0.0719961,0.0673309,0.00663489,0.048956,0.0806476,0.0275542,0.0530686,0.0251713,0.0602467,0.0444356,0.00438832,0.00420036,0.0506305,0.124446,0.0189321,0.0158322,0.000468299,0.0368016,0.0113148,0.0169843,0.0253355,0.0582205,0,0
545,0.0495409,0.0245528,0.0100881,0.0382467,0.00401191,0.115965,0.0311569,0.0787755,0.0762902,0.0133102,0.0224948,0.0247342,0.069696,0.0177198,0.0101902,0.00467187,0.0972027,0.0719832,0.0673207,0.00663497,0.0489639,0.080679,0.0275547,0.0530727,0.0251687,0.0602067,0.0444211,0.00438293,0.00421943,0.0506554,0.124473,0.0189561,0.0158112,0.00048443,0.0368001,0.0112864,0.0169669,0.0253079,0.058246,0,0
546,0.049565,0.0245325,0.0101031,0.0382561,0.00401293,0.115958,0.0311505,0.0787786,0.0762941,0.0133339,0.0225208,0.024726,0.0696683,0.0177507,0.0101997,0.00466189,0.0971909,0.0719788,0.0673197,0.00661883,0.0489696,0.0807165,0.0275575,0.0530913,0.0251657,0.0601635,0.0444616,0.00436983,0.00424131,0.0506766,0.124511,0.0189827,0.0157979,0.000500372,0.0368055,0.0112573,0.0169446,0.0252652,0.0582748,0,0
547,0.0495873,0.0244942,0.0101173,0.0382375,0.00399215,0.115959,0.031141,0.0787818,0.076302,0.0133555,0.0225432,0.0247186,0.0696517,0.0177874,0.0102113,0.00464913,0.0971936,0.0719751,0.0673206,0.00661029,0.0489584,0.0807528,0.027557,0.0531161,0.0251667,0.0601194,0.0445035,0.00436924,0.00425977,0.0506922,0.124545,0.0190124,0.0157916,0.000507677,0.036817,0.0112319,0.0169237,0.0252214,0.0582993,0,0
548,0.0496052,0.02445,0.010129,0.038247,0.00397942,0.11597,0.0311339,0.0787849,0.0763024,0.0133692,0.0225668,0.0247141,0.0696403,0.0178189,0.010222,0.00463778,0.0971949,0.0719602,0.0673052,0.00661118,0.0489412,0.0807872,0.0275459,0.0531511,0.0251654,0.0600936,0.0445349,0.00436437,0.00427385,0.0507094,0.124561,0.0190392,0.0157837,0.000518739,0.036829,0.0112356,0.0169096,0.0251974,0.0583311,0,0
549,0.0496226,0.0244131,0.0101504,0.038288,0.00398355,0.115985,0.0311294,0.0787831,0.0762959,0.0133863,0.0225901,0.0247118,0.0696268,0.0178377,0.0102341,0.00462856,0.0971854,0.0719449,0.0672887,0.00661438,0.048925,0.0808134,0.0275186,0.0531836,0.025154,0.0600853,0.0445565,0.0043616,0.00428687,0.0507279,0.124564,0.019059,0.0157718,0.000526372,0.0368366,0.0112648,0.0169101,0.0251937,0.0583514,0,0
550,0.0496318,0.0243901,0.0101758,0.0383113,0.00399692,0.115995,0.0311327,0.0787749,0.0762955,0.0134162,0.0226186,0.0247121,0.0696105,0.0178583,0.0102447,0.00462291,0.0971773,0.0719324,0.0672666,0.00660793,0.0489164,0.0808282,0.0275057,0.0532001,0.0251524,0.0601079,0.0445813,0.00436148,0.00430937,0.0507476,0.124564,0.0190875,0.0157535,0.000529465,0.0368242,0.0113418,0.0169202,0.0251908,0.0583221,0,0
551,0.0496324,0.024363,0.010201,0.0383214,0.00400689,0.116018,0.0311412,0.0787651,0.0763093,0.0134493,0.0226507,0.0247121,0.0696014,0.0178772,0.0102583,0.00462348,0.0971698,0.0719268,0.0672407,0.00659936,0.0489109,0.0808443,0.0274912,0.0532134,0.025169,0.0601845,0.0446175,0.0043527,0.00432949,0.0507602,0.12455,0.0191182,0.0157322,0.000529672,0.0367969,0.0114796,0.0169522,0.0251802,0.0582409,0,0
552,0.0496252,0.0243328,0.0102266,0.0383305,0.00400882,0.116046,0.0311691,0.0787406,0.0763398,0.0134745,0.0226794,0.024716,0.0695982,0.0178943,0.0102829,0.00462692,0.0971685,0.0719273,0.0672081,0.00658543,0.0489008,0.0808529,0.0274716,0.0532334,0.0251888,0.0603009,0.0446711,0.00434325,0.00435187,0.0507768,0.124527,0.0191512,0.0157127,0.000540616,0.0367703,0.0116701,0.0170184,0.0251591,0.0582634,0,0
553,0.0496241,0.0242986,0.0102552,0.0383442,0.00402326,0.116074,0.031217,0.0787354,0.0763871,0.0134999,0.0227178,0.0247134,0.0696011,0.0179247,0.010306,0.00462158,0.0971762,0.071937,0.0671885,0.0065819,0.0488793,0.0808526,0.0274519,0.0532632,0.0252064,0.0604505,0.0447373,0.00434366,0.00438165,0.0508018,0.124514,0.0191905,0.0156997,0.000556907,0.0367536,0.0119053,0.0171159,0.0251362,0.0583756,0,0
554,0.0496239,0.0242681,0.0102773,0.0383543,0.00403026,0.11611,0.0312679,0.0787615,0.0764335,0.0135281,0.022755,0.0247095,0.0695821,0.0179615,0.0103311,0.00461583,0.0971937,0.0719547,0.0671695,0.00656985,0.0488628,0.0808466,0.0274213,0.0532998,0.025222,0.0606271,0.0448119,0.00433749,0.00440889,0.0508273,0.1245,0.0192303,0.0156711,0.00056034,0.0367489,0.0121697,0.0172477,0.0251204,0.0584003,0,0
555,0.0496147,0.0242375,0.0103014,0.0383646,0.00403264,0.116164,0.0313317,0.0788198,0.0764732,0.0135613,0.0227946,0.0247163,0.0694781,0.0179905,0.0103493,0.00461741,0.0972145,0.0719691,0.06715,0.00655235,0.0488591,0.0808486,0.0273887,0.0533439,0.0252288,0.060813,0.0448955,0.00432753,0.00443725,0.050856,0.1245,0.0192666,0.015653,0.000556547,0.0367459,0.0124418,0.0174117,0.0251051,0.058493,0,0
556,0.0496147,0.024212,0.0103275,0.0383826,0.00403098,0.11623,0.0313963,0.0788564,0.0765128,0.0135906,0.022833,0.0247232,0.0693086,0.0180132,0.0103574,0.00462271,0.0972274,0.0719648,0.0671213,0.00654076,0.0488594,0.0808592,0.0273674,0.0533839,0.025244,0.0610112,0.0449746,0.00431393,0.00446283,0.0508877,0.124513,0.0193003,0.0156415,0.000561686,0.0367363,0.0127075,0.0175782,0.0250781,0.0585602,0,0
557,0.0496172,0.0241874,0.0103561,0.0384069,0.00405227,0.116295,0.0314515,0.078865,0.0765599,0.0136205,0.022872,0.0247241,0.069271,0.0180306,0.0103711,0.00462166,0.0972404,0.0719695,0.0670961,0.00653603,0.0488588,0.0808792,0.0273482,0.0534249,0.0252562,0.0612244,0.0450384,0.00430741,0.00448618,0.0509112,0.124534,0.0193363,0.0156226,0.000577081,0.0367172,0.0129553,0.0177428,0.0250458,0.0585878,0,0
