Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
932,0.0259424,0.0273998,0.017601,0.0341786,0.0239812,0.0301712,0.0389673,0.0254803,0.0465039,0.0147122,0.0100678,0.0422618,0.0221852,0.0221452,0.0159797,0.0149936,0.0388739,0.0338475,0.0265631,0.00996245,0.0423485,0.0253554,0.0132231,0.0276975,0.0501273,0.0314094,0.0181688,0.0103188,0.0321789,0.0265269,0.00309623,0.026424,0.0161629,0.0218883,0.0246538,0.0318995,0.0382859,0.0260038,0.0356852
933,0.0261129,0.0274862,0.0174816,0.0342852,0.0239345,0.0301392,0.0388425,0.0255856,0.0461649,0.014606,0.0102514,0.0422978,0.0226324,0.0223996,0.0160579,0.0151105,0.0383723,0.033919,0.026571,0.00923042,0.0421987,0.0260128,0.0128187,0.028057,0.0510034,0.031125,0.0173481,0.0111852,0.031947,0.0265517,0.00287893,0.0268538,0.0157479,0.0215199,0.0247328,0.0322211,0.0385997,0.0262039,0.0351019
934,0.0262858,0.0275406,0.0173781,0.034524,0.0238173,0.0300363,0.0387004,0.0257159,0.0458665,0.0143135,0.0105631,0.0423923,0.0231482,0.022732,0.016167,0.015199,0.0378666,0.0339529,0.026572,0.00867908,0.0420171,0.0266827,0.0124402,0.0284404,0.051874,0.0308615,0.0163434,0.0120656,0.0317707,0.0265348,0.00371881,0.0275093,0.0153775,0.0211519,0.0247267,0.0324375,0.0388106,0.026458,0.0345171
935,0.0264518,0.0276197,0.0173279,0.0345019,0.0236827,0.0299797,0.0385727,0.0256227,0.0455974,0.0140222,0.0108786,0.0425336,0.0236856,0.0231354,0.0163004,0.0152715,0.0374407,0.0339779,0.0264465,0.00843073,0.0418347,0.027318,0.0121134,0.0288239,0.0525805,0.0306232,0.0150692,0.0129682,0.0316109,0.0265667,0.00517143,0.0283438,0.0153091,0.0208278,0.0249657,0.0325513,0.0389105,0.0267425,0.0339634
936,0.0266388,0.0276913,0.017224,0.0343817,0.023565,0.0299456,0.0384807,0.0256408,0.0453912,0.0139163,0.0111168,0.0427353,0.024187,0.0235007,0.0164402,0.015492,0.0370412,0.0339838,0.0265977,0.00856915,0.0416254,0.0279173,0.0118401,0.0292274,0.0532696,0.0304431,0.013561,0.0137289,0.0314875,0.0265356,0.00677624,0.0291959,0.0155019,0.0205216,0.0251161,0.0327417,0.0388545,0.0270286,0.0334783
937,0.0268319,0.0278034,0.0170627,0.0343117,0.0235171,0.0299226,0.038381,0.0257186,0.0451995,0.013861,0.0112947,0.0430968,0.0246543,0.0238314,0.0164835,0.0158509,0.0367314,0.0339371,0.0268703,0.00900989,0.0414319,0.0284952,0.01162,0.0296498,0.0537981,0.0302848,0.0120424,0.0144059,0.0313015,0.026445,0.00824263,0.0299733,0.0159613,0.0202467,0.025316,0.0328803,0.03872,0.0272862,0.0330661
938,0.026963,0.0279615,0.0168371,0.0343552,0.023514,0.0298909,0.0383423,0.0256889,0.0450041,0.0137046,0.0114869,0.0436828,0.0250798,0.0241513,0.0165219,0.0162336,0.0364571,0.0338411,0.0270615,0.00950794,0.0412476,0.0290253,0.0114373,0.0301002,0.0542989,0.030178,0.0108905,0.0149029,0.0311091,0.0263004,0.00934537,0.0304664,0.0165515,0.0199899,0.0258107,0.0330021,0.0385979,0.0275175,0.0327376
939,0.0270409,0.0281424,0.0166032,0.0345199,0.0235842,0.029845,0.0383459,0.0257776,0.0449049,0.013637,0.0117297,0.0441005,0.0254838,0.0244114,0.0166403,0.0166468,0.0362143,0.0337043,0.0271511,0.00978045,0.0410264,0.0295158,0.0112719,0.030545,0.0548015,0.0300196,0.0105237,0.015051,0.0309823,0.0261271,0.0100185,0.0305527,0.0171797,0.0197666,0.0258116,0.0331806,0.0385053,0.0277267,0.0324986
940,0.0270891,0.0282475,0.0164482,0.0347328,0.0236696,0.0297791,0.0384306,0.0259917,0.0448935,0.0134979,0.011974,0.0444334,0.0259034,0.024663,0.0166798,0.0169139,0.0361088,0.0335615,0.0272213,0.00992662,0.0408044,0.0299889,0.0111164,0.030965,0.0552725,0.0298337,0.0110784,0.0148706,0.0308851,0.0260705,0.0102748,0.030159,0.0179185,0.0195769,0.0257579,0.0333493,0.0384776,0.0278465,0.0323761
941,0.0270999,0.0283019,0.0161082,0.0349595,0.0237797,0.029688,0.0385139,0.0262297,0.0449585,0.0131607,0.0122061,0.0447105,0.0262935,0.024926,0.0166472,0.0171325,0.0360922,0.0334099,0.0273624,0.0104363,0.0405996,0.0304532,0.0109506,0.0314033,0.055649,0.0296556,0.012693,0.0144395,0.0308031,0.0259454,0.0101851,0.0295248,0.0187744,0.0193827,0.0259605,0.0334285,0.0385451,0.0279119,0.0323532
942,0.0270486,0.0284373,0.0156126,0.0352904,0.0239114,0.0295867,0.0386646,0.0264763,0.0450981,0.0128163,0.0123932,0.044924,0.0265964,0.0251432,0.0165728,0.0176371,0.0361928,0.033217,0.027589,0.0116687,0.04045,0.030912,0.0107756,0.0318701,0.0559678,0.0295107,0.015086,0.0137131,0.0307425,0.0257545,0.00980406,0.0290543,0.0196036,0.0191784,0.0261736,0.0335835,0.0387006,0.0279529,0.0324164
