Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
893,0.0293028,0.0263327,0.0172742,0.0387558,0.0583185,0.0169807,0.109739,0.0770385,0.039179,0.0150328,0.0141035,0.0369988,0.0411042,0.0202008,0.0224497,0.0264653,0.0334622,0.0326565,0.037494,0.00587187,0.0347287,0.0995526,0.0322554,0.150348,0.0224153,0.0319011,0.00611402,0.01521,0.042959,0.0293901,0.0279587,0.0231573,0.0172579,0.0273937,0.025732,0.0240439,0.0389022,0.03077,0.0296413
894,0.0293284,0.0265393,0.0211068,0.0395296,0.0584859,0.0176221,0.111314,0.0774044,0.0387911,0.019386,0.0129052,0.0368103,0.041333,0.0174464,0.023447,0.028202,0.0332179,0.0327981,0.0374363,0.00577424,0.0355369,0.101195,0.0323426,0.152776,0.0225818,0.0318097,0.00729552,0.0150927,0.0426837,0.0294504,0.0280121,0.022812,0.0186626,0.0275198,0.0255819,0.0240216,0.0398836,0.0307343,0.0297142
895,0.0293912,0.026775,0.0235945,0.039856,0.0586446,0.0181889,0.112766,0.0775405,0.0384424,0.0218005,0.0121473,0.0364783,0.0415913,0.0145894,0.0245737,0.029959,0.0331435,0.0328651,0.0373637,0.00594817,0.0363317,0.102662,0.0323706,0.155019,0.0228549,0.0317392,0.00904828,0.0147072,0.0423343,0.0294751,0.028019,0.0225515,0.0202169,0.0275609,0.0254944,0.0240675,0.0406482,0.0307473,0.0297375
896,0.029437,0.0269898,0.0243838,0.0396589,0.0586218,0.0186944,0.114124,0.077444,0.0381248,0.0222662,0.0120452,0.0361862,0.0418721,0.011573,0.0247846,0.0309313,0.0331378,0.0329659,0.0372788,0.00601455,0.0371017,0.103943,0.0323285,0.157078,0.0230946,0.0316862,0.0112151,0.0141529,0.0420411,0.0295889,0.0279359,0.0224539,0.0220323,0.0275358,0.0254694,0.0241944,0.0411068,0.0308497,0.0294175
897,0.029429,0.0271164,0.0240217,0.0390182,0.0584835,0.0190431,0.115379,0.0771813,0.0378499,0.0217595,0.0124023,0.0359313,0.0421469,0.00843717,0.023395,0.0307964,0.0332647,0.033112,0.0371887,0.00589228,0.0378406,0.105083,0.0322409,0.158953,0.0233509,0.0316834,0.0136724,0.0136615,0.0419065,0.0298922,0.0277351,0.0225497,0.0240544,0.0274618,0.0254836,0.0243509,0.0412305,0.0310305,0.0290019
898,0.0293829,0.0273292,0.0232367,0.0381448,0.0584038,0.0193377,0.116468,0.0767536,0.0376235,0.0210701,0.0126242,0.0356145,0.0424123,0.00630099,0.021108,0.0294308,0.0334678,0.0332883,0.0371124,0.00571811,0.0385661,0.106075,0.0321279,0.160637,0.0235988,0.0317144,0.0163707,0.0133075,0.0419436,0.0305075,0.0273313,0.0225869,0.0260224,0.027372,0.0255164,0.0245242,0.0410103,0.0312541,0.0287856
899,0.0294346,0.0276302,0.0225912,0.0372236,0.0584197,0.0195972,0.117447,0.0761734,0.0374403,0.0204473,0.0121049,0.0348837,0.0426319,0.00599775,0.0188444,0.0273743,0.0336766,0.0334905,0.0370856,0.00556573,0.0393169,0.10698,0.0320375,0.16212,0.0238491,0.031749,0.0189774,0.0130823,0.0421328,0.0314819,0.0266231,0.0224669,0.02774,0.027293,0.0256006,0.0247309,0.0404607,0.0314615,0.0286016
900,0.0295119,0.0278576,0.0222806,0.0364168,0.05856,0.0197061,0.118337,0.0754708,0.0373421,0.0200143,0.0106083,0.0344134,0.0427853,0.00623058,0.0169334,0.0256872,0.0338962,0.0336734,0.0370543,0.00546656,0.0401407,0.107697,0.0320306,0.16336,0.0241104,0.0319061,0.0210663,0.0129076,0.0423552,0.0328026,0.025687,0.0222274,0.0291044,0.0272631,0.0257535,0.0250024,0.0396608,0.0315163,0.028576
901,0.0295435,0.0281919,0.0222758,0.0358296,0.0586391,0.0196354,0.119139,0.074681,0.0373964,0.0197521,0.0087154,0.0344035,0.0428412,0.00590989,0.0153631,0.0250179,0.0341148,0.0338252,0.0369054,0.00558014,0.041049,0.108194,0.0320933,0.16434,0.0243633,0.032374,0.0223838,0.0126399,0.0425619,0.0340868,0.0245453,0.0217994,0.0301224,0.0273293,0.026008,0.0253511,0.0388034,0.0313294,0.0286909
902,0.029633,0.0285908,0.0223797,0.0354803,0.0587373,0.0194676,0.119844,0.0738499,0.0375656,0.0196782,0.00747204,0.0344017,0.0428468,0.00549602,0.013907,0.0252316,0.0343296,0.0340464,0.0368389,0.00574725,0.0419737,0.108448,0.0321645,0.165069,0.0246278,0.0327428,0.0228403,0.0121608,0.0425982,0.0350501,0.0232435,0.0208996,0.0307265,0.027453,0.0263377,0.0257781,0.0380575,0.0309152,0.0288855
903,0.0298293,0.0289826,0.0224474,0.0353973,0.0588914,0.0192306,0.120475,0.0730231,0.0378513,0.0197187,0.00725892,0.034612,0.0428187,0.00619717,0.0127268,0.0258165,0.0345534,0.0342973,0.0368577,0.00576713,0.0428257,0.108554,0.0321506,0.165572,0.0249202,0.0329379,0.0226066,0.0113942,0.0423368,0.0356361,0.0218163,0.0197811,0.0309201,0.0275716,0.0265681,0.0261981,0.0375066,0.0303599,0.0291654
904,0.0299952,0.0293076,0.0223943,0.0355256,0.0593359,0.0188739,0.12102,0.0722574,0.0381923,0.0198121,0.00778863,0.0349172,0.042758,0.007913,0.0117304,0.0263602,0.0347615,0.0345411,0.0368702,0.00550063,0.0435921,0.108524,0.0320603,0.165916,0.0252749,0.033133,0.0220163,0.0101516,0.0417603,0.0359715,0.0203393,0.0188148,0.0306914,0.0276392,0.0266347,0.0265766,0.0371258,0.0297711,0.0295435
905,0.0302162,0.0295557,0.0222087,0.0356879,0.0599874,0.0183556,0.121486,0.0715291,0.0385023,0.0199115,0.00868313,0.0353079,0.0426594,0.00876933,0.0110418,0.0268953,0.0349058,0.0348311,0.0368503,0.00504093,0.0443012,0.108395,0.031899,0.166143,0.025713,0.0331824,0.021448,0.00862566,0.0409581,0.0360756,0.018855,0.018122,0.0299652,0.0276535,0.0267028,0.0269205,0.0368622,0.0292519,0.0299956
906,0.0306595,0.0297461,0.0219589,0.0357987,0.0605832,0.0177032,0.121894,0.0707321,0.0386882,0.0198537,0.00980527,0.035502,0.0425347,0.00838988,0.0108694,0.0274571,0.0349754,0.0351357,0.0367835,0.00486478,0.0447565,0.108251,0.0316174,0.166268,0.0262569,0.0331948,0.0209147,0.00726675,0.0400028,0.0361796,0.0175782,0.017608,0.0280221,0.0276128,0.0267319,0.0271634,0.0366742,0.0289217,0.0304318
907,0.0310533,0.0299492,0.0217297,0.0359373,0.061111,0.0169401,0.122145,0.0699775,0.0388195,0.0197279,0.0110337,0.0354489,0.0423517,0.00794616,0.0113426,0.0282052,0.0349553,0.0352945,0.0366785,0.00561315,0.0448746,0.108097,0.0312177,0.166285,0.0268744,0.0330577,0.0198252,0.0063488,0.039026,0.0363847,0.0167051,0.0170382,0.0239265,0.0275621,0.0266128,0.027235,0.0365032,0.0288195,0.030675
908,0.0314071,0.0302249,0.0215327,0.0361212,0.0616408,0.0161971,0.122197,0.0694231,0.0390075,0.0195688,0.0122291,0.0352807,0.0420961,0.00848475,0.0122542,0.0290441,0.0348318,0.0352353,0.0365339,0.00693508,0.045212,0.107917,0.0307679,0.166211,0.0276077,0.0329484,0.0183523,0.0058446,0.0381488,0.036744,0.0162008,0.0162678,0.0197222,0.0275147,0.0263201,0.0270815,0.0363643,0.0288401,0.030924
909,0.031524,0.0305783,0.0213228,0.0360231,0.0621888,0.0155235,0.122262,0.0688603,0.0391524,0.0193379,0.0132249,0.0351847,0.0417539,0.00973944,0.0131526,0.0298182,0.0346093,0.0353073,0.0363132,0.00810972,0.0457881,0.107688,0.0303363,0.166049,0.0283969,0.0328753,0.0180149,0.00575498,0.0374706,0.0372832,0.016038,0.015412,0.020873,0.0275194,0.025911,0.0267021,0.0362901,0.028883,0.0312672
910,0.0317273,0.0309993,0.0210757,0.0357036,0.0626078,0.0145821,0.122311,0.0680954,0.0392581,0.0189973,0.0140626,0.0351665,0.0413899,0.0111059,0.0136882,0.030553,0.0343789,0.0355092,0.0360638,0.00917129,0.0464771,0.107435,0.0299133,0.165846,0.029346,0.0328788,0.019361,0.00610589,0.0370826,0.0379304,0.0161402,0.014767,0.0243267,0.0276265,0.0254372,0.026112,0.0362931,0.0288819,0.0317296
911,0.0320121,0.0313968,0.0208351,0.0354087,0.0629437,0.0136707,0.122148,0.0671771,0.0393921,0.0187859,0.0148132,0.0352259,0.0411461,0.0121773,0.0140315,0.0312871,0.0341748,0.0357035,0.0357904,0.0110737,0.0472427,0.107237,0.0295086,0.165648,0.0304862,0.0328998,0.0217037,0.00649216,0.0370005,0.0386549,0.0164171,0.0144962,0.0258464,0.0278375,0.0249358,0.0253857,0.0363735,0.0287793,0.0323291
912,0.0321658,0.0317138,0.0206066,0.0351458,0.0634262,0.0128323,0.122127,0.0662738,0.0396084,0.0186839,0.0153377,0.0353103,0.0410144,0.0128592,0.0142452,0.0319692,0.033993,0.035794,0.0355066,0.0136252,0.0480169,0.107043,0.0291268,0.165509,0.0317831,0.0328734,0.0243448,0.00683632,0.0372593,0.0393899,0.016775,0.0145833,0.025858,0.0281181,0.0244213,0.0247262,0.0365382,0.0285894,0.0328934
913,0.0323973,0.0319484,0.0204114,0.0347998,0.0638668,0.0121342,0.122291,0.0654116,0.0399301,0.0184803,0.0157205,0.0354456,0.0409422,0.0131082,0.0143188,0.0325275,0.0339237,0.0357221,0.0353572,0.0158463,0.0487824,0.106864,0.0287537,0.165464,0.033136,0.0328234,0.0267247,0.00709979,0.0377487,0.0401382,0.0171446,0.0151082,0.0256944,0.028442,0.0239085,0.0240535,0.0368149,0.0283387,0.0333944
914,0.0326729,0.032119,0.0202523,0.0344036,0.0642132,0.0116141,0.122548,0.0643212,0.0402916,0.0183605,0.0159513,0.035668,0.0407822,0.013276,0.0140902,0.0328786,0.0341466,0.0353977,0.0352694,0.0173024,0.0495408,0.106766,0.0283664,0.165542,0.0343884,0.0327625,0.0284295,0.00721335,0.0383058,0.0409503,0.0174424,0.0161384,0.0259085,0.0287362,0.0233889,0.0233373,0.037242,0.0280649,0.0337854
915,0.0328062,0.0322439,0.0201069,0.0339695,0.0644848,0.0114456,0.122902,0.0630291,0.0406633,0.0179831,0.0161363,0.0359824,0.0406683,0.0136098,0.0138199,0.0330377,0.0345413,0.0353455,0.0352624,0.0180786,0.0502821,0.106728,0.027965,0.165664,0.0356798,0.0326329,0.0293271,0.00724311,0.0388062,0.0418048,0.0175617,0.0172759,0.0263329,0.0289386,0.0229015,0.0227043,0.0378512,0.0277459,0.0340247
916,0.0329462,0.0323271,0.0199253,0.0334702,0.0646684,0.0116058,0.123279,0.0616389,0.0410206,0.0176017,0.0163752,0.0364422,0.0405834,0.0139721,0.0137921,0.0330542,0.0350449,0.0354682,0.0354167,0.0184476,0.0510102,0.106674,0.0275724,0.165824,0.0370266,0.0327149,0.0296323,0.00724041,0.0392361,0.0426575,0.0179347,0.0181566,0.0267982,0.0290596,0.0223997,0.022225,0.0386315,0.0274191,0.0341599
917,0.0329014,0.0322963,0.0195599,0.0329148,0.0647678,0.0120108,0.123682,0.060202,0.0413658,0.0174332,0.0166912,0.0369043,0.0403246,0.0143541,0.0140735,0.0329018,0.0357298,0.0354677,0.0356266,0.0186342,0.0516839,0.106634,0.0271809,0.166033,0.0383439,0.0330092,0.0295931,0.0072379,0.0395954,0.0434542,0.0184594,0.0186877,0.0272106,0.0291387,0.0221874,0.0219395,0.0395556,0.0271058,0.0347373
918,0.0326998,0.0323214,0.0192117,0.0323097,0.0649267,0.012604,0.124125,0.0586922,0.0416951,0.0170297,0.0169981,0.0371826,0.0400188,0.0147389,0.0143396,0.0325977,0.0365583,0.0357138,0.0355295,0.0187404,0.0522873,0.106602,0.026859,0.166242,0.0396254,0.0333022,0.0292994,0.00725675,0.0398643,0.0441733,0.0190107,0.0188832,0.0274433,0.0291927,0.0220569,0.0219061,0.0405692,0.0267859,0.0352615
