Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
910,0.0312275,0.0287555,0.0341185,0.0366911,0.0296603,0.00880307,0.0265086,0.0651219,0.0481578,0.0297489,0.0141003,0.0384134,0.0465938,0.0227369,0.0242729,0.0312353,0.0513378,0.0293926,0.035623,0.0128857,0.0208134,0.0282625,0.0279362,0.039315,0.020159,0.0368578,0.00988246,0.01377,0.0357385,0.0158448,0.0144745,0.023466,0.0116909,0.0229325,0.0259244,0.0221545,0.0265782,0.0301841,0.0224675
911,0.0310514,0.0285776,0.0338316,0.0365314,0.0296392,0.0074803,0.0260086,0.0663674,0.0476323,0.0289739,0.0136515,0.0385613,0.0464531,0.0229786,0.0233554,0.0303891,0.0504606,0.0295673,0.0353867,0.0127297,0.0208157,0.0281449,0.0282897,0.0383471,0.0204621,0.0366004,0.00964573,0.0139995,0.0364434,0.015746,0.0156134,0.0238436,0.0117726,0.022979,0.0259448,0.0222899,0.02576,0.0313709,0.0228123
912,0.0307752,0.0282704,0.0333444,0.0364383,0.0296117,0.00623287,0.0255761,0.0675313,0.0471131,0.0283366,0.0131424,0.0386945,0.0462564,0.022838,0.0225935,0.029502,0.0495606,0.0298652,0.0351204,0.0124658,0.0205654,0.0280666,0.0285023,0.0374014,0.0207234,0.0363068,0.00939747,0.0144502,0.0370869,0.0157124,0.0168592,0.0242842,0.0117685,0.023008,0.0259874,0.022515,0.0250663,0.0325512,0.0231903
913,0.0305054,0.0279155,0.0326784,0.0363172,0.0295816,0.00505214,0.0252506,0.0684872,0.0466292,0.0276686,0.0124865,0.0387884,0.0460303,0.022242,0.0220453,0.0285313,0.0487369,0.0302492,0.0348664,0.0122117,0.0203504,0.0280422,0.0285406,0.0365035,0.0209015,0.0359496,0.00930305,0.0148946,0.0376185,0.0157654,0.0180034,0.0247088,0.0116862,0.0230576,0.0260334,0.0227842,0.0244818,0.0336402,0.0235688
914,0.0302831,0.0275322,0.0318443,0.0361431,0.029542,0.00402794,0.0250031,0.0693991,0.0462115,0.026714,0.0114792,0.0388445,0.0458242,0.0209641,0.0215241,0.0274576,0.0477388,0.0307002,0.0346983,0.0120369,0.0202366,0.0280263,0.0284739,0.0356615,0.021003,0.0354655,0.00932422,0.015229,0.0379648,0.0158652,0.0190029,0.025058,0.0116881,0.023096,0.0261033,0.0230001,0.0239894,0.0345332,0.0239298
915,0.0301105,0.0271266,0.0306817,0.0359177,0.0294714,0.00317963,0.0248558,0.0702594,0.0458542,0.0256488,0.0100111,0.0388922,0.0456678,0.0189274,0.0208892,0.0262133,0.0469703,0.0312753,0.0346428,0.011845,0.0202124,0.0279862,0.0284315,0.0349318,0.0210211,0.034926,0.00949265,0.015431,0.0382958,0.015965,0.0197919,0.0253028,0.0117537,0.0231019,0.0261714,0.0231765,0.0236146,0.0352128,0.0242318
916,0.0299516,0.0267134,0.0290219,0.0356226,0.0293608,0.00251727,0.0248106,0.0709905,0.0455783,0.0243066,0.00820151,0.0389281,0.0455718,0.0160966,0.0201716,0.0246523,0.0464268,0.0318624,0.0346998,0.0116431,0.0199749,0.0279117,0.0283763,0.0343274,0.0209691,0.0344732,0.00943347,0.0155881,0.0385988,0.016057,0.0203296,0.0254832,0.011836,0.0231163,0.0262396,0.0233099,0.0233962,0.0357042,0.0242612
917,0.0298322,0.0262896,0.0269816,0.0352501,0.0292223,0.00202782,0.0248535,0.0716156,0.0453464,0.0224075,0.0064251,0.0389104,0.0455217,0.0126457,0.0192611,0.0227435,0.0460148,0.032046,0.0348212,0.011383,0.0196385,0.0277959,0.0282863,0.0338038,0.0208834,0.0340543,0.00904446,0.0157925,0.0388184,0.0160996,0.020656,0.0256256,0.012017,0.0231419,0.0262833,0.0233849,0.0233675,0.0360192,0.024241
918,0.0297426,0.025897,0.0246707,0.0347888,0.0290673,0.00178509,0.0249422,0.0721832,0.0451862,0.0203187,0.00556604,0.0388275,0.0455628,0.00870027,0.0181602,0.0206152,0.0457116,0.0322012,0.0349643,0.0110868,0.0195406,0.0276462,0.0281777,0.0333418,0.0207684,0.033644,0.00877105,0.0159916,0.0389558,0.0161155,0.0208475,0.0257818,0.0122941,0.0231864,0.0262376,0.0234247,0.0236012,0.03619,0.0242954
919,0.0296865,0.0255643,0.022222,0.0342058,0.0288966,0.0018803,0.0250817,0.0727308,0.0450933,0.0181433,0.00655617,0.0386665,0.0456822,0.00559575,0.0171265,0.0184554,0.0457637,0.032327,0.0351119,0.0108066,0.0194094,0.0274721,0.0280353,0.0329435,0.0206433,0.0333165,0.00833736,0.0161095,0.0389917,0.0160819,0.0210204,0.0259508,0.0126021,0.0232592,0.0261055,0.023401,0.0240893,0.0362593,0.0242877
