Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
All Timesteps RMSE,0.0398207,0.0143713,0.0256389,0.0445918,0.0438235,0.0233343,0.0566808,0.0343618,0.0151975,0.0229767,0.0136298,0.0395078,0.0199091,0.0142715,0.0185988,0.0242402,0.0216602,0.0150509,0.00813228,0.0270433,0.0297622,0.0435873,0.0159013,0.0530398,0.0378642,0.0134284,0.023982,0.0201435,0.0506972,0.0173437,0.0180897,0.0122876,0.0286247,0.0123415,0.00951427,0.00999828,0.018698,0.0464433,0.0489427
0,0.013657,0.0126623,0.0164984,0.0224679,0.0093506,0.00239625,0.015378,0.00515777,0.0140227,0.0108728,0.019389,0.0264134,0.00944599,0.00973286,0.00812956,0.00829972,0.0139001,0.00762317,0.00565482,0.00474348,0.0227336,0.00961097,0.00664758,0.014166,0.0029958,0.00687874,0.00219311,0.0130031,0.0484437,0.00455251,0.0138796,0.00719368,0.0118292,0.00972816,0.0193027,0.00684116,0.0272552,0.019491,0
1,0.0135683,0.0122081,0.0152096,0.02222,0.0088063,0.00251399,0.0149394,0.00401381,0.013501,0.00957847,0.0197203,0.0269971,0.00900452,0.00951242,0.00740249,0.00733281,0.0136588,0.00869749,0.00513563,0.00421211,0.0217806,0.00881857,0.00591797,0.013559,0.00326509,0.00642124,0.0014881,0.0120916,0.0477407,0.00454487,0.0127508,0.005834,0.0119409,0.00944662,0.0186275,0.0061345,0.0266586,0.0196546,0
2,0.0135322,0.0117811,0.0139683,0.0221524,0.00826149,0.00258119,0.0145672,0.00318323,0.0130082,0.00834413,0.0201374,0.0267943,0.00867159,0.00933514,0.00686373,0.00654529,0.0132264,0.00892815,0.00472205,0.00368478,0.0208133,0.00812261,0.00520728,0.0130243,0.00362844,0.00601045,0.00091719,0.0111661,0.0469904,0.00470023,0.0116993,0.00464629,0.0120927,0.00915197,0.0179366,0.00544373,0.0260567,0.0198107,0
3,0.0135784,0.0113714,0.0127305,0.0222486,0.0076632,0.00285541,0.0141951,0.00278543,0.0124718,0.00715351,0.0205624,0.026431,0.00836691,0.00919627,0.00643791,0.00592983,0.0127149,0.00875044,0.00444925,0.00314631,0.0198368,0.00746204,0.00452808,0.0125116,0.0040133,0.00566191,0.000930358,0.0102778,0.046172,0.00499009,0.0107812,0.00351402,0.0122251,0.00887325,0.0172415,0.00475996,0.0254158,0.0199772,0
4,0.0137308,0.0109427,0.0114883,0.0224948,0.00701794,0.00318962,0.0137835,0.00282275,0.0118781,0.00602621,0.0209533,0.0262094,0.0080033,0.00913056,0.00616228,0.00546875,0.0121422,0.00867544,0.00431348,0.00264109,0.0188366,0.00662479,0.0039092,0.0119833,0.00432029,0.0053964,0.00149905,0.00948823,0.0452509,0.00538104,0.0100049,0.00232128,0.0122883,0.0086765,0.0164551,0.00445096,0.0247023,0.0201914,0
5,0.0139766,0.0104729,0.0103293,0.0225727,0.00633227,0.00361167,0.013329,0.0031415,0.0114778,0.00497763,0.0212795,0.0261728,0.00751244,0.00913795,0.00614891,0.00514727,0.011469,0.00923041,0.00427305,0.00223485,0.0178405,0.0058938,0.00340452,0.0114054,0.00449183,0.00520498,0.00216103,0.00885658,0.0441861,0.00583632,0.0092656,0.00151558,0.0122482,0.00862112,0.0155084,0.00429639,0.0239333,0.0204585,0
6,0.0143065,0.00999281,0.0092918,0.0226691,0.00563641,0.00419211,0.0128421,0.00356238,0.0112723,0.00400324,0.0214966,0.0262997,0.00697565,0.00912326,0.00630413,0.00494038,0.010757,0.00958428,0.00433533,0.00195721,0.0168883,0.00510665,0.0030149,0.0107773,0.00453265,0.00500014,0.00278327,0.0084078,0.0429736,0.00634036,0.00868695,0.00127442,0.0120927,0.00869482,0.015146,0.00382411,0.0230905,0.0207592,0
7,0.0146936,0.00948541,0.00841255,0.0231233,0.0050154,0.00491065,0.0123574,0.00398749,0.011203,0.00313894,0.0215641,0.0264738,0.00640055,0.00898738,0.00654344,0.00478927,0.010056,0.00939193,0.00454292,0.0017843,0.0160198,0.00420757,0.00277091,0.010188,0.00443216,0.00472666,0.0033036,0.00819318,0.0416851,0.00686741,0.00828749,0.00166144,0.0118035,0.00887488,0.015077,0.00338752,0.0222098,0.0211118,0
8,0.015038,0.00900438,0.00772133,0.0239939,0.00455009,0.00550672,0.0119384,0.00445041,0.011228,0.00269573,0.0214994,0.0265204,0.00588723,0.00875521,0.00686022,0.00466736,0.00946846,0.00939302,0.00475163,0.0016772,0.015273,0.00337561,0.0026883,0.00967136,0.00422796,0.00467883,0.0037113,0.00821196,0.0403837,0.00736694,0.00806944,0.00235752,0.0114155,0.00913303,0.0145594,0.00305886,0.0212851,0.0215128,0.0545928
