Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0187421,0.0160449,0.0283952,0.0463161,0.0270192,0.0363772,0.0379678,0.0292298,0.028333,0.0273024,0.0134381,0.0391959,0.0182846,0.0168515,0.0206688,0.037295,0.0235125,0.0295761,0.0274837,0.0174292,0.0417226,0.034044,0.0294448,0.0304514,0.0374745,0.0230417,0.0249477,0.0241394,0.0113488,0.0346612,0.0229478,0.015711,0.0192727,0.0289531,0.0268433,0.02344,0.0214012,0.0220712,0.0263614
0,0.0158789,0.0267247,0.0280168,0.0450557,0.0317292,0.0445095,0.0495776,0.0406301,0.0348934,0.0233624,0.0272823,0.0363802,0.0176627,0.016715,0.0228515,0.0258064,0.0272385,0.0378041,0.0339605,0.00385868,0.0425645,0.0391012,0.0284099,0.0457994,0.0333166,0.0316685,0.0337237,0.0347037,0.0180383,0.044165,0.0391113,0.0169305,0.0218584,0.0288972,0.0423096,0.0313115,0.0274782,0.0430542,0.00802808
1,0.0182228,0.0247225,0.0278496,0.0432086,0.028825,0.0418727,0.0455982,0.0373059,0.0327746,0.0216637,0.0157557,0.0355626,0.0163856,0.0152526,0.0138874,0.0274147,0.0225085,0.035602,0.0319245,0.007668,0.0393742,0.0351436,0.030086,0.0417344,0.034042,0.0301261,0.0300822,0.036225,0.015375,0.0423908,0.0368501,0.0130918,0.0236684,0.035032,0.0374861,0.0285915,0.0247784,0.0402942,0.0144499
2,0.0216171,0.0231473,0.0271311,0.0431295,0.0262015,0.0394594,0.042729,0.0344794,0.0314317,0.0204145,0.00617879,0.0361416,0.0150535,0.0132185,0.0104776,0.0280803,0.0179253,0.0338701,0.0303428,0.0131984,0.0370261,0.0319232,0.0320935,0.0376092,0.0359,0.0280359,0.0269434,0.0378227,0.0149442,0.0392134,0.0356926,0.0104523,0.0257161,0.0411581,0.0324237,0.025907,0.0222543,0.037804,0.0219078
3,0.0236737,0.0217495,0.0263701,0.0450747,0.0240495,0.0372082,0.0411673,0.0320358,0.0307458,0.0198003,0.0024624,0.0380156,0.0138531,0.0111373,0.00909402,0.0288658,0.0141444,0.0325335,0.0290989,0.0171274,0.0359734,0.0305078,0.0341211,0.0333385,0.0384724,0.0252479,0.0239415,0.0392195,0.0151376,0.0348705,0.0349136,0.0098573,0.0271828,0.0459922,0.0276614,0.0235441,0.0200588,0.0355102,0.0295806
4,0.0223609,0.0205705,0.0266363,0.0463358,0.0222201,0.0352792,0.0406995,0.0300947,0.0303663,0.0198321,0.00443797,0.0400021,0.0139162,0.011676,0.0088367,0.0307142,0.0117309,0.0315621,0.0281868,0.0198612,0.0361486,0.0313738,0.0358829,0.0293611,0.0412581,0.0219261,0.0212183,0.0402908,0.0153006,0.0310603,0.033208,0.0102338,0.027883,0.04932,0.0239218,0.0216282,0.0185294,0.0331418,0.0357871
5,0.0184997,0.0197975,0.0275546,0.0454267,0.0206258,0.0337282,0.0409235,0.0286655,0.0298312,0.0200679,0.00660181,0.040656,0.0148936,0.0120373,0.00925257,0.0327364,0.010611,0.0308902,0.0276548,0.02168,0.0364956,0.0325947,0.0372241,0.0263504,0.0439365,0.0182745,0.0190745,0.0408458,0.0152178,0.0295701,0.0300374,0.00977199,0.028068,0.0512866,0.0209866,0.0203563,0.0178084,0.0304186,0.0380418
6,0.0155701,0.0196227,0.0279888,0.0429716,0.0193693,0.0326142,0.0414744,0.0277559,0.0291665,0.0202536,0.00969003,0.039975,0.0148791,0.0112255,0.010239,0.0343559,0.0101681,0.0304305,0.0274869,0.0227865,0.0364682,0.0320643,0.0380909,0.0245309,0.046287,0.0149539,0.0177869,0.0408748,0.0149483,0.0300556,0.0263729,0.00859792,0.0280228,0.0520018,0.0185454,0.0196204,0.0179474,0.0273746,0.0355249
7,0.0150787,0.0197564,0.0276527,0.0417991,0.0183844,0.0318298,0.0421023,0.0273276,0.0285776,0.0205339,0.0136836,0.0393131,0.0138387,0.0107193,0.0114082,0.0355796,0.0103798,0.0301788,0.0275576,0.0233893,0.0364673,0.0308349,0.0385542,0.0233279,0.048063,0.0125914,0.0175638,0.0404211,0.0146419,0.0311454,0.0236835,0.00808809,0.0279212,0.0523862,0.0167141,0.0191898,0.0187333,0.0244134,0.0302537
8,0.0169656,0.0196021,0.027384,0.0419216,0.0178909,0.0312349,0.0425725,0.0274024,0.0281834,0.0209026,0.0165406,0.0387123,0.0127103,0.0118925,0.0121944,0.03662,0.0107151,0.030167,0.0276607,0.0236675,0.0368927,0.0306873,0.0387493,0.0221475,0.0491933,0.0115974,0.0181368,0.0397614,0.0144141,0.0325483,0.0224204,0.00877457,0.0279461,0.0522367,0.0157944,0.0196675,0.0198449,0.0219283,0.0252165
