Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0192316,0.0119768,0.0154756,0.0187165,0.0166642,0.029184,0.0209475,0.0233928,0.0148166,0.0184617,0.01697,0.0329065,0.0160687,0.0191148,0.0130118,0.0271916,0.0156019,0.0071934,0.0122296,0.0166936,0.0284803,0.0198895,0.0152479,0.0142455,0.0164757,0.0173126,0.0082156,0.0191929,0.0116098,0.0294998,0.016607,0.0131377,0.0152995,0.0278711,0.00824685,0.0138554,0.00876456,0.0117067,0.0359597
0,0.0250489,0.0186735,0.0303118,0.00886849,0.0145043,0.0145093,0.0103247,0.0055667,0.0216901,0.0286479,0.0113767,0.0290641,0.0246633,0.0127175,0.0136066,0.0369424,0.0308576,0.0143924,0.0113458,0.0253615,0.0349128,0.02734,0.0159202,0.0174801,0.00918157,0.0197802,0.00376496,0.01942,0.0228899,0.0271194,0.0240654,0.00572764,0.0275144,0.0286337,0.00764678,0.0232377,0.0140738,0.0105684,0.0348047
1,0.0251882,0.0193741,0.0278951,0.00928544,0.0146057,0.012932,0.0101208,0.00437097,0.0200353,0.0213906,0.0114335,0.0271558,0.0259644,0.0135934,0.0116171,0.0432573,0.0318785,0.0131965,0.00984165,0.0237332,0.0345105,0.0264282,0.01639,0.0160838,0.00914349,0.020333,0.00239507,0.0181815,0.0215496,0.0280104,0.0236803,0.00453948,0.0269604,0.0265604,0.00747133,0.0207147,0.0138457,0.0112792,0.0346866
2,0.0252747,0.0199243,0.0263092,0.0101274,0.0146768,0.0116322,0.0100082,0.00513191,0.018674,0.0160048,0.0120685,0.0258105,0.0272663,0.0149023,0.00989411,0.0490329,0.0327655,0.0121681,0.00938425,0.0223474,0.0342889,0.0253246,0.0167964,0.0148382,0.00919823,0.0202469,0.00154975,0.0168912,0.0203512,0.0287972,0.0228786,0.00380478,0.0262045,0.0247473,0.00704387,0.0184483,0.0137718,0.0120895,0.0344033
3,0.0253447,0.0203491,0.025243,0.0110314,0.0147059,0.0105775,0.00994288,0.00635799,0.0177441,0.0117412,0.0132329,0.025111,0.0285661,0.0163736,0.00864622,0.0532211,0.0334035,0.0111936,0.00953202,0.0212534,0.0340239,0.0241652,0.0171151,0.0136783,0.0092056,0.0197413,0.00164344,0.0155543,0.0191253,0.0293577,0.0219745,0.0035114,0.0253969,0.023166,0.00645631,0.0163872,0.0137281,0.0129961,0.0339863
4,0.025462,0.0206531,0.0243754,0.0116964,0.0146792,0.00985767,0.00985265,0.00724553,0.017298,0.00878758,0.0145293,0.0250847,0.0298365,0.0177156,0.00729959,0.0560822,0.0337233,0.0102798,0.00984507,0.0201053,0.0332958,0.0231525,0.017336,0.0125446,0.00906091,0.0189774,0.00222503,0.0142514,0.0178445,0.0296591,0.0213172,0.0036463,0.024464,0.0218179,0.00589194,0.0145038,0.0135343,0.0141283,0.0335062
5,0.0256373,0.0208716,0.0235134,0.0119819,0.0146326,0.0094543,0.00975545,0.00761417,0.0171867,0.00764778,0.0155145,0.025549,0.0306708,0.0187125,0.00592516,0.0581461,0.0336961,0.00949207,0.0100989,0.01895,0.0328493,0.0224687,0.0174774,0.0114614,0.00875841,0.0179137,0.00287052,0.0131676,0.0165708,0.0297702,0.0207595,0.00387459,0.0232795,0.0206617,0.00522907,0.0127839,0.0132927,0.015538,0.0331069
6,0.025808,0.0210036,0.0225405,0.0124962,0.0145886,0.00980943,0.00975056,0.00761827,0.0172566,0.00793007,0.016069,0.0263132,0.0312915,0.0194795,0.0056167,0.0597616,0.0332478,0.00885915,0.0102652,0.0178408,0.0320733,0.0221273,0.0175328,0.01052,0.00836021,0.0166218,0.00356239,0.0120991,0.0153054,0.0297322,0.0203912,0.00412125,0.0219369,0.0195558,0.00455288,0.011275,0.0128814,0.0166739,0.0329563
7,0.0259338,0.0210297,0.0213782,0.0132025,0.0145682,0.0107886,0.00997338,0.00745793,0.0176031,0.00909464,0.0164069,0.0271875,0.0315329,0.0202502,0.00613767,0.0609895,0.0324087,0.00837201,0.0106045,0.0164651,0.0308469,0.0220431,0.0175613,0.00973735,0.0079359,0.015181,0.00421787,0.0110631,0.0141228,0.0296194,0.0200557,0.00431338,0.020801,0.0185696,0.00391517,0.0100591,0.0126064,0.0175482,0.0328525
8,0.0259463,0.0209422,0.0200616,0.0139972,0.0145348,0.0121402,0.0104699,0.00747919,0.0180548,0.0107183,0.0166314,0.0280615,0.0314117,0.0210226,0.00678652,0.0618192,0.031305,0.00820164,0.0108076,0.0152025,0.0299641,0.0220436,0.0175278,0.00872179,0.00766745,0.0136552,0.00473111,0.0101812,0.0131288,0.0294974,0.0198073,0.00449199,0.0200859,0.0177779,0.00342622,0.0092093,0.0124018,0.0182989,0.0327049
9,0.0257986,0.0207337,0.0187286,0.0148045,0.0144684,0.0136781,0.0111627,0.007815,0.0184741,0.0124204,0.0168023,0.0288321,0.0310188,0.0218292,0.00734136,0.0624301,0.0301296,0.00796381,0.0110859,0.0140846,0.0294881,0.0219281,0.0174215,0.00760871,0.00766417,0.0119554,0.00524136,0.00939685,0.012266,0.0293941,0.0195467,0.0046979,0.0198205,0.0171932,0.00329331,0.00872787,0.0117856,0.0189763,0.0324259
