Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
289,0.0371315,0.00742149,0.00677872,0.0475461,0.0508381,0.0110524,0.0729285,0.0308414,0.00646202,0.0123328,0.00780987,0.0379188,0.0116192,0.0103892,0.00814181,0.0123764,0.0129795,0.0137632,0.00776821,0.0113182,0.0285643,0.0502139,0.0052744,0.0672467,0.0496349,0.00548927,0.0165277,0.0210365,0.0571895,0.0110125,0.0188717,0.0154502,0.0112721,0.00444372,0.0030021,0.00481687,0.0116271,0.0380481,0
290,0.0371226,0.00728522,0.00683587,0.0476968,0.0508841,0.0109966,0.0732736,0.0304219,0.00637205,0.012263,0.00775544,0.0380875,0.0116506,0.0103209,0.00788522,0.0125823,0.0127293,0.0136252,0.00777695,0.0112765,0.0284717,0.0503856,0.00531876,0.0676095,0.0497931,0.00541671,0.0163291,0.0210767,0.0572171,0.0110856,0.018428,0.0153013,0.0114085,0.00440532,0.00289321,0.00481171,0.0114705,0.0378895,0
291,0.0371589,0.00727791,0.0068721,0.0477038,0.0511904,0.0108951,0.0735816,0.0299877,0.00621637,0.0122034,0.00770186,0.0384146,0.0115811,0.0102865,0.00765351,0.0127084,0.012602,0.0134714,0.0076724,0.0112439,0.0283426,0.0505783,0.00538271,0.0679078,0.0499523,0.00532113,0.0161079,0.0211277,0.0572294,0.0111549,0.0180091,0.0150723,0.0115524,0.00434616,0.00279597,0.0048249,0.0113046,0.0377315,0
292,0.037166,0.00718559,0.00691439,0.0477551,0.0514762,0.0107872,0.0738766,0.0295354,0.00599251,0.0121261,0.0076673,0.0388895,0.0114233,0.0102586,0.00745446,0.0127989,0.0126452,0.0134315,0.00742536,0.011214,0.028222,0.0507716,0.0054687,0.0681585,0.0501447,0.00521619,0.015846,0.0211837,0.0572863,0.0112522,0.0176183,0.0147243,0.0116792,0.00426158,0.00269912,0.00480221,0.0111482,0.0375836,0
293,0.0371204,0.00705078,0.00692548,0.0478337,0.0516588,0.0106819,0.0741259,0.0290684,0.00570127,0.0120533,0.00764058,0.0391592,0.0112244,0.0101791,0.00726847,0.0128835,0.012495,0.0135216,0.00704076,0.0111764,0.0281078,0.0509438,0.00557269,0.0684075,0.0503766,0.00513909,0.0155907,0.0212388,0.0573647,0.0113457,0.0172997,0.0145172,0.0118058,0.00418565,0.00262157,0.0047561,0.010973,0.0374378,0
294,0.0370409,0.00695643,0.00693899,0.0478799,0.0518314,0.0105627,0.0743239,0.0286354,0.00527293,0.012005,0.00760614,0.0392512,0.0110147,0.010081,0.00708159,0.0129848,0.0121367,0.0137257,0.0065195,0.0111264,0.0279881,0.0511251,0.00569418,0.0686095,0.0506154,0.00512278,0.0153806,0.0212841,0.0573833,0.0113973,0.0169787,0.0143897,0.0119298,0.00410871,0.00256183,0.00471872,0.010778,0.0372915,0
295,0.0370053,0.00686075,0.00697609,0.0478593,0.0520573,0.0104086,0.0745148,0.0282499,0.00475319,0.0119572,0.00756927,0.0393053,0.0109087,0.0100043,0.00688594,0.0131016,0.0118216,0.0140384,0.00588248,0.0110705,0.0278869,0.0512933,0.0058282,0.0687748,0.0508271,0.0051408,0.0151978,0.0213132,0.0573857,0.0114131,0.016648,0.0143243,0.0120593,0.00403385,0.00254758,0.00468328,0.0105432,0.0371692,0
296,0.0370388,0.00680779,0.00702564,0.0477948,0.0522833,0.0102498,0.0746666,0.0278801,0.00412254,0.0118997,0.00755422,0.03927,0.0107768,0.00991157,0.00670527,0.0132217,0.0116229,0.0143987,0.0052173,0.0110361,0.027802,0.0514107,0.00593343,0.0689365,0.0510026,0.00507236,0.0150043,0.0213358,0.0574444,0.0114064,0.0163364,0.0143172,0.01221,0.00397608,0.00246124,0.00461798,0.0103096,0.0370896,0
297,0.0370888,0.00681139,0.00706815,0.0477308,0.0524528,0.0101055,0.0747875,0.0275206,0.00346958,0.0118387,0.00756979,0.0392252,0.0106496,0.00979192,0.00654087,0.0133508,0.0114368,0.0147334,0.00463742,0.0109879,0.027721,0.0514959,0.00605237,0.0690301,0.0511084,0.00483564,0.0148031,0.0213659,0.0575437,0.0113715,0.016042,0.0142463,0.0123972,0.00391477,0.00229783,0.00453366,0.0101078,0.0370118,0
298,0.037093,0.0068295,0.00708777,0.0476292,0.052502,0.00995464,0.0749088,0.0271612,0.00289491,0.0117707,0.00759215,0.0394831,0.0105087,0.00967831,0.00633532,0.0134794,0.0111378,0.0150426,0.00417526,0.0109542,0.0276146,0.0515445,0.00614728,0.0690681,0.0511226,0.00465331,0.014613,0.0214164,0.0576361,0.0113225,0.0157173,0.0140979,0.0126074,0.00386574,0.00214217,0.00446204,0.00995218,0.0369277,0
299,0.0370688,0.00680117,0.00710399,0.0475603,0.0524667,0.0098541,0.0750156,0.0267557,0.00244473,0.0117173,0.00759718,0.0401738,0.0103066,0.00966886,0.00598025,0.0136088,0.0107871,0.0153763,0.00381826,0.0109488,0.0275094,0.0515436,0.00626101,0.0691153,0.0510735,0.00453416,0.0144361,0.0214773,0.05772,0.0112645,0.0153852,0.0140456,0.012849,0.0038354,0.00204053,0.00433716,0.00984398,0.0368189,0
300,0.0369847,0.00676966,0.00713678,0.0475824,0.0526306,0.00982332,0.0750869,0.0263363,0.00221767,0.0116749,0.00761257,0.0404671,0.0100658,0.00973674,0.0054664,0.0137523,0.0104639,0.0157371,0.00357981,0.0109268,0.0273656,0.0515731,0.00640844,0.0691511,0.0509819,0.00441593,0.014252,0.0215299,0.0578072,0.0111907,0.0150817,0.0139808,0.0130978,0.00369929,0.00203127,0.00418552,0.00972638,0.0367067,0
301,0.036919,0.00667805,0.00717679,0.0477093,0.0527445,0.0098497,0.0751033,0.0259659,0.00226749,0.0116367,0.00765082,0.0404701,0.00996767,0.00985243,0.00523473,0.0139061,0.0101917,0.0161436,0.00345815,0.0108685,0.0271712,0.0516226,0.00658432,0.0691433,0.0509039,0.00427002,0.0140546,0.0215732,0.0578659,0.0111117,0.0148085,0.0139046,0.0133212,0.0034521,0.00209003,0.0040259,0.00959625,0.0365942,0
302,0.0368993,0.00662964,0.00720859,0.0475565,0.0527896,0.00993313,0.0750846,0.0255931,0.00257771,0.0115925,0.00770617,0.0404454,0.00982001,0.00976555,0.00531612,0.0140337,0.00998428,0.016601,0.0034745,0.0107607,0.0269556,0.0516386,0.00678304,0.0691045,0.0508691,0.00410085,0.013825,0.0215994,0.0578645,0.01104,0.0145436,0.0138563,0.0134889,0.00327069,0.00213888,0.00386351,0.0094902,0.0364754,0
303,0.036804,0.00666026,0.00723251,0.0471563,0.0528113,0.0100842,0.0750495,0.0252143,0.00305443,0.0115409,0.00778515,0.0405156,0.00954859,0.00967809,0.00528435,0.0140875,0.00973219,0.0170778,0.00360998,0.0106596,0.0267379,0.051646,0.00700144,0.0690248,0.0508213,0.00391229,0.0135765,0.0215982,0.0578462,0.0109624,0.014207,0.0138122,0.013644,0.00307747,0.00218429,0.0036728,0.00939791,0.0363979,0
304,0.0367693,0.00668731,0.00726753,0.0469791,0.0528312,0.0102622,0.0749863,0.0248975,0.00358852,0.0114909,0.00785969,0.040573,0.00932289,0.00961111,0.00514209,0.0142026,0.00944714,0.017565,0.00383306,0.0106984,0.0265087,0.0516478,0.00724789,0.0689188,0.0505988,0.00369176,0.0133349,0.0215845,0.0578511,0.0109039,0.0137424,0.0137325,0.0138158,0.00288879,0.00232946,0.0034322,0.00927742,0.0363306,0
305,0.0367637,0.00670722,0.00730968,0.0470371,0.0528229,0.0104307,0.0749033,0.0246945,0.0041318,0.0114435,0.00796336,0.0406171,0.00908009,0.0095435,0.00499737,0.0143811,0.00912464,0.0180185,0.00409316,0.0109099,0.026249,0.0516656,0.00747252,0.0688101,0.0502312,0.00343252,0.0131017,0.0215596,0.0578842,0.0108571,0.0134298,0.0136577,0.0140064,0.00270981,0.00250717,0.00313195,0.00914348,0.0362475,0
306,0.0367117,0.00667636,0.0073441,0.046941,0.0527893,0.010585,0.0748144,0.0246952,0.00464702,0.0113984,0.00812756,0.0407361,0.00894065,0.00948336,0.00482168,0.014591,0.00885603,0.0184181,0.00434289,0.0109522,0.0259818,0.0516383,0.00763651,0.0686865,0.0500005,0.00315519,0.0128856,0.0215326,0.0579256,0.0107736,0.013204,0.0135854,0.0142191,0.00258936,0.00267916,0.00282745,0.00900301,0.0361497,0
307,0.0366269,0.00656596,0.00736316,0.0470634,0.0526804,0.0106962,0.0747127,0.0248876,0.0050354,0.0113645,0.0082701,0.0408129,0.00882213,0.00945105,0.00457506,0.0146793,0.00863537,0.0187238,0.00455652,0.0108786,0.0257384,0.0514928,0.00781441,0.0685462,0.0499174,0.00289384,0.0126746,0.021526,0.0580713,0.0106713,0.0129965,0.0135234,0.0144317,0.00254144,0.00281664,0.00260657,0.00885227,0.0360444,0
308,0.0364857,0.00649689,0.00736752,0.0472303,0.0525033,0.0107109,0.0746012,0.0251354,0.00529185,0.0113197,0.00839012,0.0408216,0.0087947,0.00941298,0.00438623,0.0147566,0.00846345,0.0189245,0.00472069,0.0107666,0.0254821,0.051332,0.00809199,0.068423,0.0498678,0.00267982,0.012441,0.0215189,0.0579845,0.0105935,0.0127887,0.0134695,0.0146286,0.0024529,0.00289747,0.00251,0.00868023,0.0359072,0
309,0.0363102,0.00646034,0.00736772,0.0472133,0.0524625,0.0106639,0.074471,0.0252827,0.00539052,0.0112749,0.00850085,0.0408809,0.00875114,0.0093693,0.0043043,0.0148372,0.00836012,0.0190187,0.00482501,0.010664,0.0252208,0.0511522,0.00831059,0.0683184,0.0497069,0.00252396,0.0122044,0.0215039,0.0578244,0.0105467,0.0126491,0.0134237,0.0148043,0.00230505,0.00293898,0.00248502,0.00850023,0.0357629,0
310,0.0361005,0.00639816,0.00737982,0.0471042,0.0522032,0.010623,0.0743223,0.025249,0.00535515,0.0112315,0.00858246,0.0409592,0.00879953,0.00934916,0.00426876,0.0149189,0.00829449,0.0190093,0.00487217,0.0105823,0.0249758,0.0509153,0.0084316,0.0681692,0.049538,0.00242177,0.011991,0.0214727,0.0576543,0.0105262,0.0125366,0.013365,0.0149646,0.0022582,0.00289282,0.00243008,0.00829884,0.0356197,0
