Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
630,0.0288456,0.0315529,0.0152948,0.026993,0.0200539,0.0315028,0.0262588,0.0341126,0.0488698,0.0114689,0.0086311,0.0431398,0.0325157,0.0215949,0.0116778,0.0189048,0.0434846,0.0329369,0.0303795,0.0137312,0.0377129,0.0214957,0.0121357,0.0308829,0.0554545,0.0299881,0.0171076,0.0117088,0.0280633,0.0272454,0.00428365,0.0292143,0.0206846,0.0203319,0.0271406,0.0303675,0.0407685,0.0263852,0.0264126
631,0.0289728,0.0316987,0.0149482,0.0266463,0.0200729,0.0314155,0.0266006,0.0343523,0.0488619,0.0110605,0.00874419,0.0433298,0.0329192,0.0218436,0.0119133,0.0197312,0.0438112,0.0327816,0.0301134,0.0126555,0.037617,0.0215211,0.0122418,0.0310387,0.055369,0.0300565,0.0163611,0.0126954,0.0279268,0.0272381,0.00436637,0.0290854,0.0203981,0.0203465,0.0271257,0.0303757,0.0408859,0.0264898,0.0263126
632,0.0290807,0.0318933,0.0144329,0.0262595,0.0200606,0.0313463,0.0270072,0.0346086,0.048841,0.010788,0.00878725,0.0434997,0.0332954,0.0219201,0.012078,0.0206395,0.0441751,0.032602,0.0299481,0.011803,0.0375113,0.0214997,0.0123598,0.03122,0.0552623,0.0301471,0.0155779,0.0134446,0.0276786,0.0273547,0.00439681,0.0281282,0.0194509,0.0203835,0.027143,0.0304617,0.0409348,0.0266186,0.0261986
633,0.0291741,0.0320935,0.0139091,0.0259149,0.0200134,0.0313163,0.0274451,0.0348504,0.0487725,0.010592,0.00876718,0.0435648,0.0336752,0.0219018,0.0122789,0.021751,0.0445657,0.0324177,0.0297151,0.0114221,0.0374338,0.0214279,0.0124858,0.0313569,0.0551438,0.030205,0.0151555,0.0136175,0.0274079,0.0274672,0.00434369,0.0264351,0.0180446,0.0204374,0.0270622,0.0303193,0.0409036,0.0267504,0.0260209
634,0.0292656,0.0322739,0.0134043,0.0255918,0.0199056,0.031203,0.0278785,0.0350523,0.0486882,0.010332,0.00870316,0.0435612,0.0339423,0.0218176,0.0126765,0.0231269,0.0449985,0.0322191,0.0294666,0.0115718,0.0374049,0.0213572,0.0126198,0.0314406,0.0550195,0.0302558,0.0149351,0.013189,0.0271679,0.0274929,0.00429784,0.024247,0.0164788,0.0204997,0.0270331,0.0302018,0.0407947,0.0268724,0.0258043
635,0.0294139,0.0323975,0.0130063,0.0252588,0.019848,0.0310082,0.0282863,0.0352087,0.0485976,0.0106927,0.00861896,0.0435242,0.034226,0.0216847,0.0131962,0.0246997,0.0453488,0.031947,0.0292458,0.0120198,0.0374156,0.0213088,0.0127805,0.0314846,0.0549198,0.0302994,0.0152343,0.0123451,0.0270069,0.027462,0.0043315,0.0218525,0.0150601,0.0206159,0.0270775,0.0302009,0.040632,0.0269385,0.0255258
636,0.0295866,0.0324852,0.0127276,0.0249924,0.0198854,0.0307679,0.028667,0.0353737,0.0485623,0.0111882,0.00854797,0.0434499,0.0344639,0.0215585,0.0137497,0.0265616,0.0456469,0.0316488,0.0290156,0.0121932,0.0374303,0.0213066,0.0129401,0.0314672,0.0548321,0.0303641,0.0155005,0.0114353,0.0269781,0.0275955,0.00450251,0.0197833,0.0138681,0.0207577,0.0271658,0.0302894,0.0404406,0.026931,0.0251751
637,0.0297367,0.0325522,0.0124466,0.0248171,0.0200662,0.0305169,0.0290198,0.0355438,0.0485702,0.0119803,0.00856864,0.0433514,0.0346477,0.0214994,0.0145982,0.0288709,0.0459564,0.0313643,0.0287689,0.0123418,0.0375173,0.0213291,0.0130713,0.031379,0.0547516,0.0304196,0.0151828,0.0107389,0.0270346,0.0278489,0.00488999,0.0183206,0.0129215,0.0209,0.0272385,0.0303032,0.040225,0.0268639,0.0249254
638,0.029833,0.0326332,0.0121754,0.0247418,0.0203008,0.0302139,0.0293229,0.0356907,0.0485377,0.0128309,0.00871109,0.0432555,0.0348219,0.0214985,0.0154984,0.0313559,0.0462846,0.0311081,0.0286297,0.0127439,0.0376452,0.021375,0.0131488,0.0311711,0.0545677,0.0304069,0.0151177,0.0103301,0.0271572,0.028008,0.005533,0.0174482,0.0124668,0.0210272,0.0273031,0.0302231,0.0398884,0.0267259,0.0248333
639,0.029883,0.032781,0.0118604,0.0246569,0.0206242,0.0298791,0.0295653,0.0357992,0.0485639,0.0137522,0.00902182,0.0432434,0.0350027,0.0212848,0.0163771,0.0337823,0.046621,0.0308832,0.0285887,0.0132941,0.0377407,0.0214312,0.0131689,0.0308314,0.0543143,0.0304065,0.0152959,0.0102311,0.0272733,0.0280728,0.00637418,0.017025,0.0123571,0.0211069,0.0272414,0.0301021,0.0394949,0.0264921,0.0248307
