Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
All Timesteps RMSE,0.0401587,0.010229,0.0241603,0.0424634,0.0402019,0.0209101,0.0509832,0.0239086,0.00907559,0.0244315,0.0170556,0.0334021,0.0147535,0.0114784,0.0205683,0.0329056,0.0177667,0.00759786,0.0070673,0.0196986,0.0312937,0.0419363,0.0151903,0.049258,0.0378982,0.0122998,0.0185859,0.019172,0.0439849,0.0141153,0.0129666,0.0108738,0.0241134,0.011809,0.00643376,0.00932506,0.0165142,0.0488179,0.0468468
0,0.0183383,0.014784,0.00833979,0.0195375,0.0111432,0.00885143,0.0250596,0.0201128,0.0155227,0.00374124,0.0161545,0.0232829,0.00759664,0.00456029,0.00604188,0.00547686,0.0127117,0.00786847,0.00558842,0.00470418,0.0191835,0.00918211,0.00979918,0.0209669,0.0134982,0.0078742,0.00396873,0.0056621,0.0342902,0.0140414,0.00863951,0.00532409,0.0124967,0.0140047,0.0116333,0.0097699,0.0243675,0.0307484,0
1,0.0176582,0.013929,0.00792867,0.0202215,0.0109573,0.00811405,0.0244194,0.0189184,0.0153747,0.00373945,0.0159933,0.0233829,0.00699768,0.00390446,0.00478413,0.00410113,0.0126833,0.00845601,0.00529228,0.00445798,0.0186021,0.00942219,0.0090762,0.020523,0.0120269,0.00762164,0.0039283,0.00647974,0.0344687,0.0131684,0.0087805,0.0051684,0.0128181,0.0135589,0.012387,0.00927,0.0236232,0.02998,0
2,0.0170391,0.0131912,0.00765026,0.0208085,0.0107872,0.00739848,0.0238261,0.01784,0.0152393,0.00376131,0.0160189,0.0234493,0.00656967,0.00355694,0.00447103,0.00282261,0.0125231,0.00887169,0.00504239,0.00446936,0.0180839,0.00967654,0.00880231,0.0202448,0.0107143,0.0073941,0.00384843,0.007019,0.0345977,0.0123262,0.00903497,0.00515374,0.0131031,0.0131143,0.0130711,0.00890979,0.0230083,0.0293447,0
3,0.0164691,0.0125726,0.00748168,0.0212915,0.0106339,0.00668622,0.023274,0.0168721,0.0151261,0.00379333,0.0162028,0.0235145,0.00626667,0.00353199,0.00438162,0.00167786,0.0123193,0.00913706,0.00482145,0.00468822,0.0176187,0.00993974,0.00859447,0.0200739,0.00954888,0.00716864,0.0037701,0.00756971,0.034792,0.0115745,0.00909547,0.00515775,0.0133507,0.0126568,0.013595,0.00858782,0.0225242,0.0288278,0
4,0.0159328,0.0120383,0.00738829,0.0217163,0.0104903,0.00595125,0.022761,0.0159923,0.0150281,0.00384196,0.0165302,0.0236136,0.00607032,0.00352367,0.00403099,0.000907991,0.0120447,0.00934718,0.00464238,0.00486029,0.017218,0.0102351,0.00832899,0.0199611,0.00860115,0.00692381,0.00370509,0.00799163,0.0351146,0.0110011,0.00920255,0.00523155,0.0135684,0.0122076,0.0138868,0.00820639,0.0221502,0.0283659,0
5,0.0154305,0.0115686,0.00734729,0.0221016,0.0103734,0.00519075,0.0223094,0.0151906,0.014938,0.00394318,0.0169632,0.0237186,0.00597716,0.00331901,0.00372889,0.00125546,0.0117043,0.00951608,0.00444415,0.00498506,0.0168606,0.0105513,0.00792508,0.0198718,0.00780007,0.00662453,0.00366021,0.00828297,0.0351956,0.0104852,0.00906668,0.00523964,0.0137584,0.0117637,0.0141439,0.00773473,0.0218743,0.0278993,0
6,0.0149825,0.0111402,0.00733944,0.0224193,0.0102652,0.00444952,0.0219068,0.0144186,0.0148641,0.00407033,0.0174784,0.0237918,0.00594902,0.0030453,0.00348636,0.00216775,0.0113556,0.00962483,0.00434721,0.00512189,0.0164993,0.010858,0.00747666,0.0198197,0.00708515,0.00629522,0.00367182,0.00858811,0.035039,0.0100109,0.00897577,0.00523608,0.0139179,0.0113064,0.0143487,0.00754353,0.021637,0.0273998,0
7,0.0145752,0.0107377,0.00738797,0.022678,0.0101718,0.00373228,0.0215923,0.0136348,0.0148104,0.00416392,0.0181005,0.0237852,0.00596233,0.00291411,0.00320643,0.00314253,0.0110425,0.00969917,0.00424456,0.00528902,0.0161335,0.0111319,0.00707995,0.0198322,0.00645007,0.00593564,0.00375147,0.00887315,0.0349979,0.00961344,0.00894104,0.00521299,0.014057,0.0108159,0.0145064,0.00761009,0.0214167,0.0268805,0
8,0.0142424,0.0103707,0.00751239,0.0228926,0.0101017,0.00307661,0.021393,0.0129644,0.0147467,0.00424226,0.0187193,0.023701,0.00604324,0.00308198,0.00294415,0.00409954,0.0107667,0.00977005,0.00425208,0.00547933,0.0157653,0.0113856,0.0067191,0.0199156,0.00587927,0.0054231,0.00389956,0.00914593,0.0351497,0.00917443,0.00891817,0.00513727,0.0141641,0.0102917,0.0146503,0.00756539,0.0212359,0.0263909,0
