Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
1061,0.0203663,0.0227611,0.0233056,0.0414042,0.0252306,0.00900635,0.0233886,0.0829756,0.0439285,0.0215592,0.0137396,0.0370646,0.0335337,0.0118321,0.0170282,0.0254066,0.0358831,0.0361823,0.0385553,0.00527472,0.0337438,0.0171371,0.02336,0.0293665,0.0113502,0.020958,0.0314676,0.018884,0.0176287,0.0480614,0.0168803,0.0355252,0.0256777,0.0373215,0.0262941,0.0251128,0.0232331,0.0241546,0.0288472
1062,0.0204412,0.0228964,0.0233459,0.0409302,0.0253015,0.00831723,0.0231919,0.081884,0.0442496,0.0212977,0.0113715,0.037481,0.0335904,0.0114662,0.0148591,0.0239265,0.03611,0.0354035,0.0385276,0.00520112,0.0336427,0.0176309,0.0233557,0.0293244,0.0111776,0.0206937,0.0313475,0.0200268,0.017251,0.0482882,0.0171167,0.0339849,0.0246891,0.0376987,0.0260922,0.0247061,0.0225287,0.0235142,0.0292445
1063,0.020471,0.0231325,0.0234624,0.0406918,0.0253179,0.00758569,0.0228752,0.0808005,0.0445833,0.0213632,0.00907661,0.0385211,0.0335489,0.0101718,0.0129513,0.0229411,0.0363944,0.0347385,0.0384431,0.00541004,0.033748,0.0179272,0.0234276,0.0290599,0.0110474,0.0204758,0.0313903,0.0207249,0.0167117,0.0484256,0.0172494,0.0322741,0.0234994,0.0375665,0.0258155,0.0243794,0.021804,0.022936,0.0292736
1064,0.020516,0.0234565,0.0236535,0.0406822,0.0251885,0.00687525,0.0224759,0.0797282,0.0449299,0.0217105,0.00753001,0.0387334,0.0335016,0.00933162,0.0113161,0.0224846,0.0367619,0.0341851,0.0383514,0.00577394,0.0339897,0.0183566,0.0235071,0.0287475,0.0109752,0.0204103,0.0315009,0.0209675,0.0155833,0.0481095,0.0173189,0.0304103,0.0221855,0.0369428,0.0254726,0.0240513,0.0211581,0.0224508,0.0286239
1065,0.0206583,0.023815,0.0240429,0.0409454,0.0249971,0.00621582,0.021971,0.0786598,0.04525,0.0218814,0.00707445,0.038269,0.0335428,0.00976635,0.00996049,0.0221582,0.0371657,0.0337236,0.0382843,0.00611161,0.034269,0.0187578,0.0235606,0.0281659,0.0109891,0.0206706,0.0317062,0.020969,0.0137672,0.0477159,0.0173208,0.028373,0.0209576,0.035856,0.0250799,0.0237324,0.0207231,0.0221116,0.0276445
1066,0.0209783,0.0241882,0.0245963,0.0413942,0.0248023,0.00567455,0.0213865,0.0775766,0.0455216,0.0219272,0.00747533,0.0381568,0.0336361,0.0103189,0.00915309,0.0219526,0.0376165,0.0333427,0.0381326,0.00576593,0.034575,0.0191205,0.0235929,0.027317,0.0110813,0.0214695,0.0318867,0.0208967,0.0116125,0.0474392,0.0173455,0.0262006,0.0201147,0.0343074,0.0246416,0.0234592,0.0206026,0.0218903,0.0267738
1067,0.0214637,0.0245476,0.0249147,0.0419074,0.0246379,0.00523911,0.0207426,0.0765424,0.0457119,0.0217796,0.00820138,0.0381779,0.033732,0.0101475,0.00918653,0.021631,0.0381143,0.033061,0.0379622,0.005154,0.0348778,0.0198036,0.0236941,0.0264312,0.0112498,0.0229938,0.0320267,0.0209524,0.00951696,0.0466609,0.0175333,0.024035,0.0196762,0.0321792,0.0241683,0.0232963,0.0208799,0.0217622,0.0262058
1068,0.0221402,0.0249214,0.0250691,0.0423567,0.0244976,0.00491117,0.020079,0.0755714,0.0457948,0.0215488,0.00906033,0.0380125,0.0338122,0.00973351,0.00984543,0.0213042,0.0384175,0.0329054,0.0377506,0.0050287,0.0352456,0.0205538,0.023905,0.025311,0.0114492,0.0253475,0.0319914,0.0210768,0.00776705,0.0456106,0.0179211,0.0218982,0.0193993,0.0283602,0.023649,0.0234375,0.0215913,0.0217261,0.0259091
1069,0.0229342,0.0252802,0.0252202,0.0426739,0.0244386,0.00475674,0.0193899,0.0745812,0.0457681,0.0215921,0.010024,0.0374829,0.0338641,0.0097839,0.0108154,0.0210931,0.0386215,0.0328955,0.0375399,0.00578245,0.0356721,0.0213627,0.0241808,0.0239981,0.0115941,0.0285173,0.0318654,0.0204601,0.00663381,0.044485,0.0185056,0.02005,0.0188875,0.022216,0.0230627,0.023909,0.0227463,0.0217622,0.0258764
1070,0.0237198,0.0256579,0.0253058,0.0427879,0.0244676,0.00467905,0.0187069,0.073557,0.0458498,0.0214387,0.0110377,0.0369886,0.0338745,0.0103759,0.011944,0.0209384,0.0386935,0.0331167,0.0373211,0.00685085,0.036065,0.0223622,0.0245681,0.0229243,0.0116795,0.0323835,0.031728,0.0191961,0.00626756,0.0434602,0.0193054,0.018632,0.0178611,0.0185765,0.0224322,0.0248334,0.024172,0.0218913,0.0258462
1071,0.0244321,0.0260757,0.0253791,0.0426327,0.024572,0.00455373,0.0180187,0.0724871,0.0458257,0.021107,0.0119632,0.0369266,0.0337872,0.0111173,0.0129767,0.0208072,0.0385985,0.0335611,0.0369604,0.00756717,0.0365161,0.0237838,0.0249404,0.021903,0.0117152,0.0366877,0.0315907,0.0185779,0.00654536,0.0426867,0.0202744,0.0176205,0.0165911,0.0211525,0.0217505,0.0260924,0.025731,0.0221086,0.0257077
1072,0.0250805,0.0265333,0.0253868,0.0421856,0.0247176,0.00452041,0.0173588,0.0713153,0.045658,0.0210643,0.0126183,0.0371513,0.0335951,0.0115838,0.0137302,0.0207263,0.0382438,0.0339595,0.0363807,0.00843431,0.0368192,0.0253168,0.0253313,0.0208922,0.0116904,0.0410943,0.031445,0.0199627,0.00729181,0.0422747,0.0213253,0.0167949,0.0157728,0.0248948,0.0210342,0.0276766,0.027395,0.0223886,0.0255677
1073,0.0257267,0.0270069,0.0252512,0.0415522,0.024853,0.00470667,0.0167103,0.070097,0.0455521,0.0209774,0.0129833,0.0373073,0.0333214,0.0118604,0.0141202,0.020776,0.0377562,0.0342289,0.0359958,0.0103886,0.0373702,0.0268684,0.0257426,0.019943,0.0116043,0.0452551,0.0313054,0.0226004,0.0082909,0.0424656,0.0224615,0.0161644,0.0156296,0.0270655,0.0203207,0.0294407,0.0290795,0.0228162,0.0255402
