Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RASI,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10
234,0.0147806,0.0406674,0.0235026,0.0500385,0.0400126,0.0226326,0.0503316,0.0266994,0.0232232,0.0225402,0.010874,0.037966,0.0301591,0.00773366,0.0157442,0.0193541,0.0232965,0.0257031,0.0227455,0.00758017,0.0313893,0.0256442,0.0400269,0.0533896,0.0472843,0.0306804,0.0328712,0.0223115,0.00804772,0.0375413,0.0447343,0.0259878,0.0170423,0.0275007,0.0419717,0.021953,0.0189621,0.0388055,0.0165788
235,0.0149589,0.0400563,0.0212084,0.0499765,0.0407064,0.0224758,0.0507008,0.0270238,0.023047,0.0212391,0.0124137,0.0378518,0.0292575,0.0102822,0.0142692,0.0192222,0.0236612,0.0261319,0.0226398,0.00734216,0.0311874,0.0266783,0.0404235,0.0535648,0.0471116,0.0312846,0.0330268,0.0230399,0.00722569,0.0380734,0.0445755,0.0250083,0.01709,0.026014,0.0424085,0.0220955,0.0190372,0.0369677,0.0161257
236,0.0152279,0.0394391,0.0189651,0.0494711,0.0413422,0.0222295,0.0507059,0.0274335,0.0227145,0.0201412,0.0136039,0.0376772,0.0285816,0.0134095,0.0132981,0.0194811,0.0237344,0.0264562,0.0225186,0.00691651,0.0310723,0.0274889,0.0407148,0.0536693,0.046678,0.0318045,0.0331817,0.0240237,0.00634532,0.0386801,0.0438051,0.0240152,0.0170516,0.0244293,0.0425738,0.0223548,0.0192318,0.035389,0.0156093
237,0.0155903,0.038893,0.0172398,0.0486548,0.0417953,0.0218693,0.0503441,0.0278445,0.0222642,0.0194839,0.0139414,0.0374895,0.028158,0.0167258,0.0133555,0.0202421,0.0234138,0.0267132,0.0224724,0.00658981,0.031115,0.0280507,0.0409707,0.0537036,0.045977,0.0322382,0.0333487,0.0250832,0.00581719,0.039423,0.0424352,0.0230129,0.0170083,0.0225397,0.0424953,0.0227241,0.0195157,0.0340264,0.0150549
238,0.0160839,0.0382635,0.0165062,0.0483158,0.0420504,0.0214063,0.0496104,0.0282131,0.0218159,0.0194746,0.0135275,0.0373267,0.0280893,0.0197912,0.0143391,0.0214273,0.0227633,0.0269379,0.0224658,0.00666698,0.0313444,0.028294,0.0412359,0.0536478,0.0450551,0.0327023,0.0335678,0.0259575,0.00589118,0.0403437,0.0406536,0.0219869,0.0170355,0.0198196,0.0422048,0.0229727,0.0198433,0.0328236,0.0144382
239,0.0166934,0.0375423,0.016912,0.0481983,0.0422353,0.0209301,0.048535,0.0285446,0.0214355,0.0197939,0.0130042,0.0371289,0.0283826,0.0220823,0.0157491,0.0226709,0.0219449,0.0271622,0.0225496,0.00726882,0.0317061,0.0281323,0.0414867,0.0535137,0.0439795,0.0331207,0.0338238,0.0265734,0.00658075,0.0412425,0.0387095,0.0208925,0.0173626,0.0158978,0.0417836,0.0233276,0.0201934,0.0318124,0.0137862
240,0.0174314,0.0366909,0.018225,0.0476424,0.0422942,0.020497,0.0471559,0.0289195,0.0211484,0.0192228,0.0128935,0.0368159,0.0290124,0.0230897,0.0172284,0.0239969,0.0211372,0.0273574,0.0227015,0.00835555,0.0321719,0.0275581,0.0417162,0.0532976,0.0428194,0.0334506,0.0341373,0.0271904,0.00754415,0.0417763,0.036828,0.0197633,0.0180978,0.0125422,0.0413465,0.0234958,0.0205739,0.0310294,0.0131928
241,0.0182701,0.0357097,0.0203899,0.0468642,0.0422109,0.0201504,0.0454925,0.029351,0.0209663,0.0175154,0.0133108,0.0363818,0.0299217,0.0222024,0.0187116,0.0254475,0.0204038,0.0275236,0.0226985,0.00948301,0.0327096,0.0267286,0.0419321,0.0529626,0.0416134,0.0336771,0.0344737,0.0282066,0.0084474,0.0417688,0.0351518,0.0185843,0.0186706,0.0125709,0.0409757,0.0237048,0.0209528,0.0304398,0.0128164
242,0.0191576,0.0346228,0.0232141,0.0461737,0.0421107,0.0199881,0.0436035,0.0298178,0.0208802,0.017337,0.0142337,0.0357391,0.031025,0.0198227,0.0205011,0.0270552,0.019832,0.027706,0.0227625,0.0106076,0.0332082,0.0256266,0.0420961,0.0524894,0.0404218,0.0338335,0.0346429,0.0298356,0.00901093,0.0414225,0.0337337,0.0173366,0.0191552,0.0159161,0.0406839,0.0238821,0.0212388,0.0298823,0.0127972
243,0.0200647,0.0334823,0.0249797,0.0455343,0.0418007,0.0199895,0.0415206,0.0303254,0.0208619,0.0185568,0.0156091,0.0348601,0.0321206,0.0169459,0.0227148,0.0289232,0.0194157,0.0279196,0.0229224,0.0120256,0.0335084,0.0242936,0.042203,0.051874,0.0392845,0.0340617,0.0345621,0.0319491,0.00907641,0.040849,0.0326517,0.0159986,0.0197177,0.020237,0.0403911,0.0238641,0.0213661,0.0292339,0.0134116
244,0.0209831,0.032391,0.0252487,0.0446146,0.0413207,0.0200749,0.0392893,0.0307878,0.0209639,0.0197742,0.0173925,0.0338843,0.0328564,0.0146218,0.0242008,0.0306642,0.0191072,0.0280907,0.023172,0.0138658,0.033455,0.0227075,0.0423335,0.0510326,0.0383048,0.0341596,0.034097,0.0342973,0.00865922,0.0400139,0.031876,0.0145199,0.0203697,0.0249775,0.039973,0.0235311,0.0212927,0.0285374,0.0148939
245,0.0220148,0.0314477,0.0258866,0.043321,0.0405509,0.0202793,0.0370184,0.031155,0.0212391,0.021101,0.0184818,0.0332391,0.0331205,0.0134085,0.0229506,0.0315211,0.0190154,0.0280211,0.0235235,0.0158589,0.0329545,0.0208193,0.0424873,0.0498557,0.0376193,0.0340764,0.0332326,0.0364947,0.0081553,0.0390867,0.0312281,0.0129157,0.0210616,0.0300002,0.0392538,0.0229394,0.0209641,0.0276328,0.0173262
246,0.0233231,0.0306872,0.0282638,0.0424068,0.0395019,0.0208059,0.0349633,0.0313963,0.0216469,0.0226809,0.0166155,0.033142,0.0332792,0.0132919,0.0186351,0.0310158,0.0190195,0.0280442,0.0239299,0.0175033,0.0321902,0.0188401,0.0424933,0.0482585,0.0375264,0.033831,0.0320639,0.0381286,0.00828935,0.038264,0.0303774,0.0112849,0.0217944,0.0348513,0.0380167,0.0221349,0.020414,0.0266123,0.0207531
247,0.0250983,0.0299611,0.0301542,0.0425069,0.0380306,0.0215134,0.0335795,0.0312942,0.0222265,0.0234751,0.0123052,0.0334806,0.0337983,0.0131404,0.0137369,0.0305534,0.0190336,0.0281301,0.024327,0.0184841,0.0316515,0.0175308,0.0423184,0.0462478,0.0383179,0.0330263,0.0308247,0.038931,0.00946222,0.0373361,0.0288259,0.0100613,0.0225389,0.039021,0.0362329,0.0213862,0.0198251,0.0257675,0.0251088
248,0.0267749,0.0290583,0.0305824,0.0433185,0.0362882,0.0223328,0.0333578,0.0307222,0.0230449,0.0234623,0.0106001,0.0345053,0.0350527,0.0108387,0.0103943,0.029805,0.0189274,0.0282918,0.0247588,0.0189058,0.0320652,0.0173558,0.042142,0.0439483,0.039881,0.0316668,0.0298182,0.0390825,0.0107533,0.0356907,0.0262594,0.00965619,0.0231863,0.0422471,0.0344207,0.0208573,0.0194866,0.0253515,0.030291
249,0.0267398,0.0281247,0.0308476,0.0443873,0.0346542,0.0233629,0.034297,0.029684,0.0239763,0.0235239,0.0107247,0.0369205,0.0370913,0.00727882,0.00865442,0.0298771,0.0182791,0.0281786,0.0253142,0.0191899,0.0337752,0.0185014,0.0420602,0.0415713,0.0419523,0.0299016,0.0289746,0.0390557,0.0112769,0.0332874,0.0230261,0.00975832,0.0235794,0.0443974,0.0332072,0.020684,0.0195528,0.0255697,0.0352711
250,0.0243322,0.0273245,0.0311583,0.0452935,0.0333579,0.0245172,0.0362034,0.0282952,0.0248192,0.0235609,0.0100974,0.0399232,0.0388173,0.0055799,0.00834539,0.0305642,0.0171275,0.0278823,0.0259443,0.0195323,0.0362033,0.0208071,0.0420077,0.0395199,0.0442506,0.0281495,0.0284934,0.0390329,0.0113723,0.0319902,0.0199458,0.00980683,0.0236368,0.0455697,0.032389,0.020831,0.0199833,0.026302,0.0379321
